UniqueCount	AmbigCount
14	0
91	0
22	51
0	11
70	28
376	1052
69	0
10	394
108	245
376	1172
77	0
0	0
272	6
0	0
80	180
0	0
837	0
789	0
245	0
1	203
0	0
2	79
158	217
28	287
23	73
221	2
0	37
38	2126
1	0
0	0
3	0
6	35
0	9
0	299
29	3
6	4
51	22
149	380
271	208
0	50
28	2139
50	0
2	0
0	0
19	0
0	17
4	92
3	1
3	3
0	33
873	79
0	1234
98	6
0	89
0	0
1	0
0	0
95	250
0	81
213	70
40	991
0	4
93	0
4	0
6	112
0	0
9	12
0	0
224	95
104	591
59	866
39	0
0	0
10	12
1	0
3	0
122	156
16	2
0	0
59	813
3	947
0	10
2	21
1	0
5	1
16	56
195	108
137	857
163	0
180	710
3	0
3030	0
81	1176
318	12
377	10
973	180
149	462
48	58
3	185
32	334
2	41
0	0
1352	730
362	142
0	1
206	210
17	0
2415	179
22	64
0	0
0	0
0	22
0	0
6	127
605	2
0	0
0	0
32	0
2	0
2	498
70	0
76	172
1	18
0	0
4	0
145	0
51	0
14	826
0	21
0	0
0	0
101	277
20	0
51	0
133	702
4	155
1600	2
2	121
1	0
13	3
0	0
290	0
278	118
14	2
2	11
0	0
0	0
73	0
0	106
9	0
153	1
0	88
0	0
0	14
1	27
0	1
75	59
5	195
4904	134
0	0
0	0
1	64
45	80
35	657
4	9
235	0
106	7
8	1
17	206
64	0
30	7
572	93
8	12
1	19
116	19
0	23
0	0
1	3
0	0
111	158
47	5
0	0
711	318
0	357
0	0
0	0
0	67
0	0
0	66
2	240
1199	368
2	2
44	12
329	187
362	43
93	19
0	24
219	0
0	0
0	0
351	1
0	29
246	0
1	0
49	0
216	476
12633	1368
395	25
29	38
1	78
68	8
615	640
3	0
14824	257
1	35
1	0
1081	15
0	94
0	258
294	94
0	0
0	1
0	3
0	0
28	1
69	0
0	51
3448	1012
18	69
859	734
3	0
23	13
1	1
5	115
0	0
1	35
1650	0
34	100
296	602
0	0
6	1
4	0
904	723
128	203
95	0
0	16
10	0
134	439
26	0
0	0
0	387
78	0
246	0
1200	0
0	39
2	544
21	725
0	5
0	0
465	0
338	0
115	73
10	29
318	1
78	1
74	0
147	7
67	1
121	1462
6	0
0	0
1	0
0	0
0	0
590	10
141	0
28	12
0	50
3	4
265	0
0	0
97	1749
38	356
0	0
0	0
3	3
6	335
60	273
231	83
1913	0
131	1662
0	0
67	0
0	0
0	0
1449	1
81	324
62	182
167	0
143	0
76	440
22	61
2	0
59	706
0	0
246	0
1335	21
0	3
8	2
8	27
30	250
38	25
3	122
0	18
0	0
1	27
2	0
30	102
0	271
0	0
56	136
43	140
0	0
0	0
0	0
0	0
1	12
1	0
4	0
119	0
992	397
1	30
12	0
21	874
174	192
491	1415
1789	0
0	0
9	0
11	168
0	0
0	0
0	0
0	23
0	0
0	0
0	0
5	4
0	0
5	13
310	60
88	657
590	472
890	331
135	0
264	1708
5	172
180	29
74	227
85	2
736	10
184	57
0	0
41	235
826	126
0	0
0	0
4	0
2	0
20	50
2050	4
29	37
226	128
109	131
8	85
52	316
79	0
514	1
10698	122
0	0
1491	0
0	84
0	78
113	304
13	0
42	0
91	1
15	83
38	0
5852	0
59	0
35	89
296	223
442	0
3	0
1	0
1195	0
559	53
8	0
24	0
0	0
8584	0
131	85
0	0
3	338
6	66
0	6
0	15
5	100
26	406
28	0
1	0
0	18
0	0
229	41
391	80
189	0
4624	0
729	16
64	0
257	0
353	0
73	0
39	16
0	33
1	0
4	74
205	214
420	891
102	101
7252	0
786	18
46	0
516	0
228	0
279	151
101	0
2	0
0	0
234	0
149	0
43	0
104	456
3	6
121	0
1189	0
119	83
247	18
13	685
1949	0
10	0
838	1813
0	0
6	79
285	0
1164	101
223	716
11	491
112	0
56	19
0	0
2	128
31	5
0	0
7	0
1	0
0	0
0	0
2	0
44	1
17	23
257	41
87	199
0	69
4	9
137	202
2	15
1	0
0	0
1	20
0	0
45	4
5	92
525	33
74	522
328	0
7	0
58	0
156	11
20	55
3	68
2	271
0	0
0	0
15	187
0	0
4	2
228	2
338	32
584	0
508	0
0	0
229	167
1	0
24	392
37	357
1761	26
