UniqueCount	AmbigCount
39	0
4	0
951	102
0	2
26	79
98	866
105	0
53	543
304	323
1362	1877
320	0
0	0
198	23
0	0
163	315
0	0
1782	0
172	0
28	0
1	254
0	0
0	124
618	634
59	450
8	642
263	0
0	12
34	2874
1	0
0	0
2	0
2	35
0	10
3	409
11	6
1	7
72	49
15	39
547	384
0	11
16	2701
117	0
1	0
0	0
54	0
11	37
3	93
2	3
2	0
0	57
1281	136
0	173
61	3
0	89
0	0
1	0
2	1
360	768
0	82
3	15
70	1321
0	0
150	0
42	1
14	208
222	0
51	21
0	0
126	186
216	985
122	1123
174	0
0	0
6	12
4	0
3	0
288	254
23	3
6	0
123	1228
18	2027
1	21
11	49
5	0
15	0
159	57
651	241
506	1577
671	0
638	497
3	0
2101	0
170	1792
60	1
616	9
2135	333
76	175
37	92
3	315
63	696
1	90
13	0
842	305
532	200
0	0
262	318
89	0
3234	332
29	124
0	0
0	0
2	21
0	0
30	246
399	2
0	0
0	0
5	0
0	0
1	568
20	0
12	124
4	22
0	0
0	0
231	0
17	9
48	1200
0	48
0	9
3	0
84	496
47	0
112	0
164	814
7	300
547	5
2	262
1	0
1	2
0	0
915	0
1743	205
61	3
53	46
0	0
0	0
330	0
9	180
3	0
176	0
0	926
0	0
2	18
13	72
0	2
143	134
17	358
3438	122
0	0
0	0
3	279
187	193
43	894
1	22
148	0
465	9
7	2
130	297
18	0
63	10
14	172
11	8
0	16
157	59
3	36
0	0
4	3
0	0
191	370
198	10
0	0
975	474
6	928
0	0
0	0
0	35
0	0
0	335
2	358
141	11
8	0
82	17
773	305
1075	80
387	29
6	36
155	0
0	0
0	0
533	5
0	41
847	0
6	0
72	0
236	1015
9337	1550
459	50
69	91
0	107
4	2
224	821
22	0
11572	548
5	79
0	0
2405	27
0	179
0	548
58	6
0	2
0	7
0	3
0	0
250	0
253	2
0	59
74	1443
95	86
460	1229
1	0
188	85
0	5
5	227
0	0
0	22
1403	2
47	161
345	893
2	0
8	0
5	0
1176	1090
50	308
296	14
5	45
69	0
337	663
98	0
0	0
1	826
14	0
23	0
8	0
0	72
2	971
57	913
0	9
0	0
98	0
601	0
640	2533
8	34
25	3
26	2
23	0
252	17
122	0
254	1084
5	0
1	0
0	0
0	0
0	0
383	17
165	0
1	2
0	52
0	0
55	1
0	0
283	864
118	505
0	0
0	0
11	9
11	613
92	513
252	121
53	0
76	1822
0	0
4	0
5	0
1	0
1360	1
101	478
354	301
208	0
388	1
199	788
47	187
3	0
56	740
0	0
387	0
2779	29
0	4
5	6
11	49
138	633
96	47
3	150
0	5
0	0
1	18
5	0
30	111
14	363
0	1
177	373
156	501
5	0
1	0
0	0
0	0
1	33
0	0
10	1
175	0
1323	645
9	29
1	0
17	1308
243	310
553	1585
931	0
0	0
8	4
9	151
0	0
0	0
0	0
0	50
0	0
0	0
0	0
28	27
0	0
8	135
647	143
225	778
1117	644
99	439
272	0
437	1777
13	209
383	51
124	512
468	2
2007	16
254	121
2	0
48	325
2141	264
4	0
1	0
14	0
0	0
82	72
10572	7
198	63
695	336
343	178
3	185
102	436
323	0
458	0
7486	186
0	0
