UniqueCount	AmbigCount
6	0
94	0
10	20
0	0
54	17
318	714
47	0
5	185
92	96
258	651
56	0
0	0
159	6
0	0
65	109
0	0
623	0
432	0
164	0
1	104
0	0
0	21
115	111
17	169
24	53
103	0
0	17
12	1360
0	0
0	0
1	0
2	18
0	5
3	131
7	5
2	2
25	7
245	322
235	136
1	70
19	1151
11	0
1	0
0	0
7	0
3	7
3	42
0	3
0	4
0	18
657	70
0	910
29	3
0	98
0	0
1	0
0	0
55	106
0	14
224	91
29	681
0	3
21	0
1	0
0	68
0	0
32	8
0	0
229	54
65	231
28	399
13	0
0	0
1	7
0	0
0	0
107	94
14	0
0	0
29	556
25	482
4	13
0	1
0	0
2	0
8	37
71	46
101	484
64	0
36	443
1	0
2973	0
36	819
221	6
257	5
608	137
72	267
53	42
4	141
13	186
0	16
0	0
1228	476
148	102
0	0
215	75
12	0
1640	93
15	56
0	0
0	0
1	15
0	0
2	107
966	2
0	0
0	0
5	0
2	0
0	311
16	0
103	102
0	2
0	0
0	1
69	0
43	4
2	427
0	18
0	1
0	0
50	181
13	0
26	0
79	345
1	28
1031	0
7	109
5	0
1	0
0	0
224	0
251	61
15	0
2	5
0	0
0	0
14	0
3	37
2	0
161	0
0	42
0	0
0	6
5	19
0	0
33	37
5	96
6862	216
0	0
0	0
1	38
34	35
25	440
0	15
232	0
63	3
4	0
12	129
77	0
27	10
1	53
2	14
2	16
61	36
4	15
0	0
4	2
0	0
80	68
28	6
1	0
513	224
0	171
0	0
0	0
0	57
0	0
0	19
0	133
958	232
3	0
19	10
105	79
277	31
26	9
0	15
114	0
0	0
0	0
243	0
0	4
98	0
0	0
38	0
148	231
15457	797
276	5
28	38
0	33
62	15
726	398
2	0
18874	137
2	10
0	0
975	12
0	26
0	109
92	14
0	1
0	2
0	1
0	0
14	1
43	0
0	19
4368	708
28	49
479	372
1	0
34	15
2	1
0	70
0	0
0	10
1390	0
15	33
195	328
0	0
0	0
0	0
657	502
75	102
61	1
0	7
3	0
90	260
13	0
0	0
0	187
60	0
223	0
1224	0
0	8
3	292
24	497
0	1
0	0
818	0
168	0
66	55
18	12
363	2
33	1
41	0
197	12
34	1
59	1004
3	0
0	0
0	0
0	0
0	0
500	10
77	0
15	16
0	5
3	3
172	0
0	0
75	1206
30	218
2	0
0	0
1	3
2	221
37	200
274	39
4160	3
134	1004
0	0
53	0
0	0
0	0
1394	0
18	140
35	76
71	0
79	0
83	545
13	30
1	0
171	432
0	0
207	0
1189	17
0	0
10	7
0	6
27	132
26	22
0	103
0	8
0	0
0	11
1	0
23	40
1	126
0	0
19	61
8	47
0	0
0	0
0	0
0	0
0	7
0	0
1	0
94	0
515	279
0	13
2	0
10	683
75	78
304	729
2392	2
0	0
4	0
3	71
0	0
0	0
0	0
0	9
0	0
0	0
0	0
1	1
0	0
2	11
255	35
66	334
360	286
1549	182
131	0
165	943
6	93
70	12
84	281
54	1
547	4
114	38
1	0
23	138
423	96
0	0
0	0
1	0
0	0
28	24
1112	2
8	13
106	79
49	66
5	45
45	143
63	0
645	1
13299	67
0	0
1182	0
0	37
0	24
65	123
16	0
35	0
62	1
10	44
4	0
6807	1
30	0
10	31
118	123
401	0
3	0
3	0
1148	0
314	38
3	0
18	0
0	0
6419	0
34	52
0	0
0	139
3	37
0	3
0	1
4	29
26	175
25	0
0	0
0	23
0	0
115	30
212	38
151	0
6428	1
807	13
23	0
116	0
157	0
39	0
13	7
0	11
0	0
0	39
57	144
267	494
17	34
10348	0
1036	8
19	0
271	0
152	0
120	68
58	0
3	0
0	0
272	0
140	0
42	0
92	222
0	8
52	0
953	0
65	14
379	9
10	428
2455	0
8	0
484	1107
0	1
5	52
247	0
509	37
83	450
3	293
303	1
55	13
0	0
1	68
12	0
0	0
5	0
1	0
0	0
0	0
0	0
125	0
7	19
199	13
95	163
0	24
0	8
270	240
6	5
0	0
0	0
0	8
0	0
37	2
2	45
685	8
31	235
188	0
15	0
60	0
149	1
21	59
0	15
0	129
0	0
0	1
8	110
0	0
0	0
234	2
61	10
1339	0
586	0
0	0
158	25
0	0
14	280
5	132
2394	32
2	0
19	13
1	0
282	20
85	120
62	0
273	18
52	121
1	466
426	359
43	36
217	0
0	1
130	0
17	0
0	1
0	2
24	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	16
0	0
28	429
0	0
0	2
3	358
1	134
3	47
74	376
0	2
0	3
729	635
0	3
0	3
0	2
5	123
132	55
3	18
178	0
90	9
18	190
11	1133
0	0
15	4
267	30
0	0
323	17
118	6
0	0
257	1
0	0
668	0
0	0
0	0
1	6
0	0
0	1
0	6
0	0
0	0
0	0
0	3
1	0
0	0
309	24
0	0
681	0
0	2
1	28
168	91
45	360
290	17
4204	0
206	368
280	0
0	0
0	0
227	28
1	11
276	0
0	11
3	801
0	0
0	0
4554	61
122	0
48	0
221	84
0	0
5	476
0	9
9	0
0	1
0	0
0	0
0	0
264	0
0	8
139	1044
0	0
14	0
0	7
1	0
203	28
92	0
4551	0
0	8
0	0
0	0
0	0
0	0
182	62
0	0
0	0
0	0
0	0
0	1
0	1
0	0
151	687
0	0
1	0
507	0
1	0
0	7
1	264
1	3
1	7
43	1339
0	11
6	17
0	0
0	1
100	0
0	0
241	0
186	7
85	0
12	0
4	0
181	23
2	8
61	368
0	0
6	0
86	253
142	16
5	54
133	1
442	1
659	11
43	32
0	0
3	0
25	89
46	16
4	4
22	2
37	147
216	114
0	0
0	0
723	1288
1	0
0	0
0	0
38	98
7	258
0	45
37	495
4	301
0	0
0	0
3545	6
962	11
0	0
0	3
18	0
0	9
0	0
2	0
107	0
4	0
10	342
115	0
6134	0
0	0
0	0
0	0
0	2
119	5
0	0
0	0
121	18
14	28
10	164
47	270
30	245
0	5
6	991
23	3
0	1
0	23
8	0
34	0
0	0
0	0
0	0
2	2
13	107
0	0
0	0
1	44
0	0
0	0
13	66
1	791
2	0
9	82
0	0
2	6
125	322
86	0
0	0
0	0
2	0
189	208
1595	6
0	0
17	0
124	1156
0	14
353	2
209	605
126	0
111	182
31	567
0	0
8	72
0	0
30	14
0	1
1	5
9286	101
4	18
0	0
4	31
17	10
33	7
42	173
1	0
5	0
0	0
64	346
93	109
3	0
23	0
4	0
0	0
0	0
0	0
0	8
31	84
0	7
18	0
1	0
1	23
3728	144
9	824
40	12
5	255
4	0
1067	99
0	0
9	1
0	0
0	0
21	7
0	0
0	132
60	16
5	101
295	18
82	265
48	64
181	286
61	109
144	0
161	0
9	0
25	147
1	0
0	0
3	74
754	1332
0	160
1	0
0	0
0	0
0	0
167	71
30	12
3	0
3	0
0	151
0	0
0	50
0	149
62	237
0	0
0	0
38	3
0	253
0	100
0	0
0	0
0	0
83	221
0	206
5	7
211	13
32	0
4	25
104	29
0	4
15	130
218	756
2	53
691	737
56	763
0	5
35	28
66	0
81	4
10	36
2	92
97	291
0	73
0	0
0	55
0	0
1	0
0	0
77	51
37	0
48	14
200	0
216	0
37	0
5	24
0	147
0	0
8	2
1	61
0	0
432	65
2	3
0	0
6	1
0	131
0	0
0	28
0	0
169	162
32	32
775	529
0	12
5	1
0	0
0	0
129	1
155	3
19	0
16	63
174	278
212	174
0	0
150	234
388	35
14	0
515	51
1	0
18	0
0	3
109	0
63	0
50	15
101	0
72	91
8	0
0	0
1	0
0	0
1262	0
15	14
4	8
44	5
63	89
3	0
0	0
36	51
0	2
16	13
28	1
4	4
0	18
0	457
5	0
0	0
108	50
57	134
77	0
0	1
0	0
938	1223
69568	65
1738	0
0	216
0	2
5	0
74	0
0	0
133	191
0	0
0	46
0	0
1	0
127	588
0	0
0	0
158	125
2	0
7	25
16	30
77	0
0	15
1	17
13	33
6	0
9	79
2	52
1439	20
80	0
1	4
544	524
86	0
5618	4
2126	493
21	0
0	0
0	0
62	3
105	70
839	220
93	0
0	6
1	55
11	6
160	106
0	0
229	1053
0	0
0	48
0	0
6	0
0	0
3	111
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	29
0	0
0	0
0	0
0	0
2	227
0	0
0	7
5	0
24	63
3	39
0	0
556	17
0	0
2	1
0	0
0	3
1	26
30	0
72	0
8	1
13	35
271	0
229	106
3	82
63	1
0	0
21	5
13	122
0	0
0	3
339	1295
550	138
0	22
15	0
1	0
4	0
0	82
108	0
0	0
0	0
173	6
601	137
0	0
0	12
0	0
49	65
0	11
212	6
0	0
3	39
0	0
6	0
1	0
6	4
17	914
1	9
0	0
0	0
68	0
0	0
28	0
0	22
8	49
0	43
10	0
0	3
33	1050
105	3
87	0
39	245
16	71
55	0
61	10
617	0
8	674
0	40
27	508
0	68
0	0
5	1
0	27
0	1
2	1
0	0
106	429
0	1
0	0
0	0
667	129
75	0
19	3
1	4
40	52
17	33
40	0
183	18
27	0
2	0
981	0
135	164
0	0
86	34
0	0
14	36
2	17
0	52
0	0
0	0
1	0
0	0
11	0
3	72
1	0
0	0
40	0
126	57
79	0
106	0
8	195
0	0
0	0
17	124
0	12
0	10
1188	0
1	9
70	0
7	2
0	0
399	1654
1	0
1	0
4033	0
0	0
306	100
0	0
30	64
6531	154
0	74
9	1022
137	0
0	0
65	775
