QC_Measurement	Value
Number of sequences	6622
Number of unique IDs	6622
Duplicate ID groups	0
Extra duplicate ID records	0
Empty sequences	0
Sequence type	PROTEIN
Protein sequences after terminal-stop cleanup	6622
Terminal stop-containing sequences	0
Internal stop-containing sequences	0
Empty sequences after cleanup	0
Total protein length (aa)	2308110
Minimum protein length (aa)	13
Maximum protein length (aa)	8314
Mean protein length (aa)	348.55
Median protein length (aa)	232.0
Proteins <50 aa	58
Proteins <100 aa	1059
Proteins containing X	476
Total X residues	488
Total invalid amino-acid characters	0
Sequences containing invalid amino-acid characters	0
Invalid character breakdown	
