gene_id,best_hit_accession,best_hit_species,identity_pct,query_coverage_pct,evalue,bitscore,classification,qc_decision,total_blast_hits,qualifying_hits,best_hit_description
g19872.t1,sp|P83863|H2B_PENVA,Penaeus vannamei,96.154,98.0,3.61e-30,107.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P83863|H2B_PENVA Histone H2B (Fragments) OS=Penaeus vannamei OX=6689 PE=1 SV=2
g19875.t1,sp|Q6JEL2|KLH10_HUMAN,Homo sapiens,45.878,89.0,4.29e-178,525.0,Other non-arthropod,FLAG_REVIEW,11,11,sp|Q6JEL2|KLH10_HUMAN Kelch-like protein 10 OS=Homo sapiens OX=9606 GN=KLHL10 PE=1 SV=1
g19879.t1,sp|Q8N328|PGBD3_HUMAN,Homo sapiens,33.628,92.0,1.0099999999999999e-24,109.0,Other non-arthropod,FLAG_REVIEW,3,3,sp|Q8N328|PGBD3_HUMAN PiggyBac transposable element-derived protein 3 OS=Homo sapiens OX=9606 GN=PGBD3 PE=1 SV=3
g19888.t1,sp|P45844|ABCG1_HUMAN,Homo sapiens,40.034,92.0,6.62e-122,383.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P45844|ABCG1_HUMAN ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3
g19889.t1,sp|P45844|ABCG1_HUMAN,Homo sapiens,45.122,98.0,2.24e-14,73.6,Other non-arthropod,FLAG_REVIEW,5,5,sp|P45844|ABCG1_HUMAN ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3
g19890.t1,sp|O13067|CND2_XENLA,Xenopus laevis,30.919,85.0,5.15e-32,135.0,Other non-arthropod,FLAG_REVIEW,1,1,sp|O13067|CND2_XENLA Condensin complex subunit 2 OS=Xenopus laevis OX=8355 GN=ncaph PE=1 SV=1
g19892.t1,sp|Q70UP5|ADH2_CERCO,Ceratitis cosyra,36.25,91.0,7.800000000000001e-27,108.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q70UP5|ADH2_CERCO Alcohol dehydrogenase 2 OS=Ceratitis cosyra OX=194917 GN=ADH2 PE=3 SV=1
g19901.t1,sp|Q5HZY0|UBXN4_RAT,Rattus norvegicus,33.513,100.0,4.88e-63,221.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5HZY0|UBXN4_RAT UBX domain-containing protein 4 OS=Rattus norvegicus OX=10116 GN=Ubxn4 PE=1 SV=1
g19902.t1,sp|Q8TD57|DYH3_HUMAN,Homo sapiens,56.149,96.0,0.0,3332.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8TD57|DYH3_HUMAN Dynein axonemal heavy chain 3 OS=Homo sapiens OX=9606 GN=DNAH3 PE=1 SV=1
g19908.t1,tr|A0A015J5I9|A0A015J5I9_RHIIW,Rhizophagus irregularis (strain DAOM 197198w),54.651,94.0,1.95e-25,108.0,Other non-arthropod,FLAG_REVIEW,2,2,tr|A0A015J5I9|A0A015J5I9_RHIIW Gag-pol fusion protein OS=Rhizophagus irregularis (strain DAOM 197198w) OX=1432141 GN=RirG_273610 PE=4 SV=1
g19911.t1,tr|A0A015J5I9|A0A015J5I9_RHIIW,Rhizophagus irregularis (strain DAOM 197198w),55.556,74.0,6.4200000000000005e-99,327.0,Other non-arthropod,FLAG_REVIEW,4,4,tr|A0A015J5I9|A0A015J5I9_RHIIW Gag-pol fusion protein OS=Rhizophagus irregularis (strain DAOM 197198w) OX=1432141 GN=RirG_273610 PE=4 SV=1
g19913.t1,tr|A0A9P7D7R0|A0A9P7D7R0_9AGAM,Suillus placidus,30.443,99.0,3.18e-43,167.0,Other non-arthropod,FLAG_REVIEW,9,9,tr|A0A9P7D7R0|A0A9P7D7R0_9AGAM NAD(P)-binding protein OS=Suillus placidus OX=48579 GN=EV702DRAFT_961299 PE=3 SV=1
g19914.t1,tr|A0ABU3VQR6|A0ABU3VQR6_9EURY,Methanimicrococcus hacksteinii,37.5,99.0,4.2599999999999996e-45,158.0,Other non-arthropod,FLAG_REVIEW,5,5,tr|A0ABU3VQR6|A0ABU3VQR6_9EURY Glucose 1-dehydrogenase OS=Methanimicrococcus hacksteinii OX=3028293 GN=gdh_2 PE=3 SV=1
g19919.t1,tr|A0A642UVP5|A0A642UVP5_9ASCO,Trichomonascus ciferrii,31.034,81.0,8.76e-08,60.5,Other non-arthropod,FLAG_REVIEW,1,1,tr|A0A642UVP5|A0A642UVP5_9ASCO Uncharacterized protein OS=Trichomonascus ciferrii OX=44093 GN=TRICI_005155 PE=4 SV=1
g19924.t1,tr|K0BB52|K0BB52_9ARCH,Candidatus Nitrosopumilus sediminis,40.69,90.0,3.4299999999999995e-24,103.0,Fungal,FLAG_POSSIBLE_CONTAMINATION,5,5,tr|K0BB52|K0BB52_9ARCH threonine ammonia-lyase OS=Candidatus Nitrosopumilus sediminis OX=1229909 GN=NSED_04675 PE=3 SV=1
g19925.t1,sp|P19387|RPB3_HUMAN,Homo sapiens,69.818,100.0,2.14e-150,427.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P19387|RPB3_HUMAN DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens OX=9606 GN=POLR2C PE=1 SV=2
g19926.t1,tr|A0A0U5AI68|A0A0U5AI68_9EURY,Halobacterium hubeiense,38.686,89.0,2.22e-74,255.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,10,10,tr|A0A0U5AI68|A0A0U5AI68_9EURY threonine ammonia-lyase OS=Halobacterium hubeiense OX=1407499 GN=ilvA PE=3 SV=1
g19927.t1,tr|A0A1I0Q1V3|A0A1I0Q1V3_9EURY,Halobacterium jilantaiense,40.967,90.0,1.58e-92,291.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,5,5,tr|A0A1I0Q1V3|A0A1I0Q1V3_9EURY threonine ammonia-lyase OS=Halobacterium jilantaiense OX=355548 GN=SAMN04487945_2196 PE=3 SV=1
g19932.t1,sp|Q9ULM6|CNOT6_HUMAN,Homo sapiens,57.233,75.0,2.29e-50,178.0,Other non-arthropod,FLAG_REVIEW,1,1,sp|Q9ULM6|CNOT6_HUMAN CCR4-NOT transcription complex subunit 6 OS=Homo sapiens OX=9606 GN=CNOT6 PE=1 SV=2
g19933.t1,sp|Q6TDP4|KLH17_HUMAN,Homo sapiens,32.848,99.0,3.9399999999999996e-61,217.0,Other non-arthropod,FLAG_REVIEW,7,7,sp|Q6TDP4|KLH17_HUMAN Kelch-like protein 17 OS=Homo sapiens OX=9606 GN=KLHL17 PE=1 SV=1
g19938.t1,sp|O17899|PCDR1_CAEEL,Caenorhabditis elegans,35.417,85.0,9.590000000000001e-47,167.0,Other non-arthropod,FLAG_REVIEW,1,1,sp|O17899|PCDR1_CAEEL Melatonin receptor pdcr-1 OS=Caenorhabditis elegans OX=6239 GN=pcdr-1 PE=1 SV=1
g19939.t1,sp|Q5R833|ACO13_PONAB,Pongo abelii,38.655,83.0,6.1599999999999995e-24,96.7,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5R833|ACO13_PONAB Acyl-coenzyme A thioesterase 13 OS=Pongo abelii OX=9601 GN=ACOT13 PE=2 SV=1
g19943.t1,tr|A0A8J8CAR6|A0A8J8CAR6_9EURY,Haloarcula salinisoli,32.381,87.0,2.5e-24,115.0,Other non-arthropod,FLAG_REVIEW,28,28,tr|A0A8J8CAR6|A0A8J8CAR6_9EURY Protein-glutamine gamma-glutamyltransferase-like C-terminal domain-containing protein OS=Haloarcula salinisoli OX=2487746 GN=EGD98_07005 PE=4 SV=1
g19947.t2,sp|Q7Z410|TMPS9_HUMAN,Homo sapiens,36.538,90.0,6.5499999999999995e-40,154.0,Other non-arthropod,FLAG_REVIEW,9,9,sp|Q7Z410|TMPS9_HUMAN Transmembrane protease serine 9 OS=Homo sapiens OX=9606 GN=TMPRSS9 PE=1 SV=2
g19948.t1,sp|Q9BH41|FAD9_ACHDO,Acheta domesticus,51.027,74.0,5.72e-101,310.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q9BH41|FAD9_ACHDO Acyl-CoA Delta-9 desaturase OS=Acheta domesticus OX=6997 PE=1 SV=1
g19951.t1,sp|Q99K85|SERC_MOUSE,Mus musculus,59.066,99.0,9.95e-156,448.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q99K85|SERC_MOUSE Phosphoserine aminotransferase OS=Mus musculus OX=10090 GN=Psat1 PE=1 SV=1
g19952.t1,sp|Q8BH44|COR2B_MOUSE,Mus musculus,59.396,94.0,3.7699999999999996e-128,380.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8BH44|COR2B_MOUSE Coronin-2B OS=Mus musculus OX=10090 GN=Coro2b PE=1 SV=2
g19953.t1,sp|Q8BH44|COR2B_MOUSE,Mus musculus,59.926,97.0,3.9900000000000005e-117,351.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8BH44|COR2B_MOUSE Coronin-2B OS=Mus musculus OX=10090 GN=Coro2b PE=1 SV=2
g19957.t1,sp|Q5BL44|S20A1_XENTR,Xenopus tropicalis,39.528,98.0,3.55e-148,451.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5BL44|S20A1_XENTR Sodium-dependent phosphate transporter 1 OS=Xenopus tropicalis OX=8364 GN=slc20a1 PE=2 SV=1
g19958.t1,sp|Q2KHV4|PARL_BOVIN,Bos taurus,47.17,91.0,3.68e-95,294.0,Other non-arthropod,FLAG_REVIEW,5,5,"sp|Q2KHV4|PARL_BOVIN Presenilin-associated rhomboid-like protein, mitochondrial OS=Bos taurus OX=9913 GN=PARL PE=2 SV=1"
g19959.t1,sp|P10768|ESTD_HUMAN,Homo sapiens,59.766,100.0,1.73e-112,331.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2
g19962.t1,sp|O60306|AQR_HUMAN,Homo sapiens,68.707,94.0,0.0,1472.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|O60306|AQR_HUMAN RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4
g19974.t1,sp|Q6NYE2|RCC2_DANRE,Danio rerio,47.525,100.0,1.53e-26,108.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q6NYE2|RCC2_DANRE Protein RCC2 homolog OS=Danio rerio OX=7955 GN=rcc2 PE=2 SV=1
g19975.t1,sp|Q06442|WNT5A_AMBME,Ambystoma mexicanum,56.716,92.0,4.19e-55,182.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q06442|WNT5A_AMBME Protein Wnt-5a OS=Ambystoma mexicanum OX=8296 GN=WNT-5A PE=2 SV=1
