Sequence_ID	Header	Length	Sequence_Type
g13247.t1	g13247.t1	259	PROTEIN
g13248.t1	g13248.t1	151	PROTEIN
g13249.t1	g13249.t1	64	PROTEIN
g13250.t1	g13250.t1	2128	PROTEIN
g13251.t2	g13251.t2	1840	PROTEIN
g13252.t1	g13252.t1	110	PROTEIN
g13253.t1	g13253.t1	91	PROTEIN
g13254.t1	g13254.t1	161	PROTEIN
g13255.t1	g13255.t1	216	PROTEIN
g13256.t1	g13256.t1	347	PROTEIN
g13257.t1	g13257.t1	192	PROTEIN
g13258.t1	g13258.t1	113	PROTEIN
g13259.t1	g13259.t1	416	PROTEIN
g13260.t1	g13260.t1	68	PROTEIN
g13261.t1	g13261.t1	66	PROTEIN
g13262.t1	g13262.t1	420	PROTEIN
g13263.t1	g13263.t1	1425	PROTEIN
g13264.t1	g13264.t1	403	PROTEIN
g13265.t1	g13265.t1	1011	PROTEIN
g13266.t1	g13266.t1	119	PROTEIN
g13267.t1	g13267.t1	169	PROTEIN
g13268.t1	g13268.t1	180	PROTEIN
g13269.t1	g13269.t1	485	PROTEIN
g13270.t1	g13270.t1	502	PROTEIN
g13271.t1	g13271.t1	151	PROTEIN
g13272.t1	g13272.t1	198	PROTEIN
g13273.t1	g13273.t1	165	PROTEIN
g13274.t1	g13274.t1	574	PROTEIN
g13275.t1	g13275.t1	70	PROTEIN
g13276.t1	g13276.t1	390	PROTEIN
g13277.t1	g13277.t1	469	PROTEIN
g13278.t1	g13278.t1	141	PROTEIN
g13279.t1	g13279.t1	848	PROTEIN
g13280.t1	g13280.t1	435	PROTEIN
g13281.t1	g13281.t1	113	PROTEIN
g13282.t1	g13282.t1	764	PROTEIN
g13283.t1	g13283.t1	554	PROTEIN
g13284.t1	g13284.t1	90	PROTEIN
g13285.t1	g13285.t1	958	PROTEIN
g13286.t1	g13286.t1	599	PROTEIN
g13287.t1	g13287.t1	573	PROTEIN
g13288.t1	g13288.t1	181	PROTEIN
g13289.t1	g13289.t1	661	PROTEIN
g13290.t1	g13290.t1	68	PROTEIN
g13291.t1	g13291.t1	279	PROTEIN
g13292.t1	g13292.t1	442	PROTEIN
g13293.t1	g13293.t1	192	PROTEIN
g13294.t1	g13294.t1	217	PROTEIN
g13295.t1	g13295.t1	1508	PROTEIN
g13296.t1	g13296.t1	462	PROTEIN
g13297.t1	g13297.t1	466	PROTEIN
g13298.t1	g13298.t1	269	PROTEIN
g13299.t1	g13299.t1	275	PROTEIN
g13300.t1	g13300.t1	268	PROTEIN
g13301.t1	g13301.t1	103	PROTEIN
g13302.t1	g13302.t1	88	PROTEIN
g13303.t1	g13303.t1	90	PROTEIN
g13304.t1	g13304.t1	94	PROTEIN
g13305.t1	g13305.t1	1090	PROTEIN
g13306.t1	g13306.t1	372	PROTEIN
g13307.t1	g13307.t1	97	PROTEIN
g13308.t1	g13308.t1	328	PROTEIN
g13309.t1	g13309.t1	286	PROTEIN
g13310.t1	g13310.t1	144	PROTEIN
g13311.t1	g13311.t1	102	PROTEIN
g13312.t1	g13312.t1	163	PROTEIN
g13313.t1	g13313.t1	445	PROTEIN
g13314.t1	g13314.t1	342	PROTEIN
g13315.t1	g13315.t1	318	PROTEIN
g13316.t1	g13316.t1	345	PROTEIN
g13317.t1	g13317.t1	69	PROTEIN
g13318.t1	g13318.t1	188	PROTEIN
g13319.t1	g13319.t1	401	PROTEIN
g13320.t1	g13320.t1	2026	PROTEIN
g13321.t1	g13321.t1	306	PROTEIN
g13322.t1	g13322.t1	93	PROTEIN
g13323.t1	g13323.t1	78	PROTEIN
g13324.t1	g13324.t1	125	PROTEIN
g13325.t1	g13325.t1	344	PROTEIN
g13326.t1	g13326.t1	120	PROTEIN
g13327.t1	g13327.t1	108	PROTEIN
g13328.t1	g13328.t1	851	PROTEIN
g13329.t1	g13329.t1	126	PROTEIN
g13330.t1	g13330.t1	922	PROTEIN
g13331.t1	g13331.t1	87	PROTEIN
g13332.t1	g13332.t1	415	PROTEIN
g13333.t1	g13333.t1	397	PROTEIN
g13334.t1	g13334.t1	234	PROTEIN
g13335.t1	g13335.t1	410	PROTEIN
g13336.t1	g13336.t1	626	PROTEIN
g13337.t1	g13337.t1	81	PROTEIN
g13338.t1	g13338.t1	258	PROTEIN
g13339.t1	g13339.t1	1177	PROTEIN
g13340.t1	g13340.t1	110	PROTEIN
g13341.t1	g13341.t1	160	PROTEIN
g13342.t1	g13342.t1	69	PROTEIN
g13343.t1	g13343.t1	618	PROTEIN
g13344.t1	g13344.t1	833	PROTEIN
g13345.t1	g13345.t1	194	PROTEIN
g13346.t1	g13346.t1	207	PROTEIN
g13347.t1	g13347.t1	112	PROTEIN
g13348.t1	g13348.t1	390	PROTEIN
g13349.t1	g13349.t1	574	PROTEIN
g13350.t3	g13350.t3	717	PROTEIN
g13351.t1	g13351.t1	138	PROTEIN
g13352.t1	g13352.t1	80	PROTEIN
g13353.t1	g13353.t1	599	PROTEIN
g13354.t2	g13354.t2	999	PROTEIN
g13355.t1	g13355.t1	180	PROTEIN
g13356.t1	g13356.t1	139	PROTEIN
g13357.t1	g13357.t1	249	PROTEIN
g13358.t1	g13358.t1	342	PROTEIN
g13359.t1	g13359.t1	321	PROTEIN
g13360.t1	g13360.t1	595	PROTEIN
g13361.t1	g13361.t1	356	PROTEIN
g13362.t1	g13362.t1	89	PROTEIN
g13363.t1	g13363.t1	197	PROTEIN
g13364.t1	g13364.t1	320	PROTEIN
g13365.t1	g13365.t1	361	PROTEIN
g13366.t1	g13366.t1	418	PROTEIN
g13367.t1	g13367.t1	480	PROTEIN
g13368.t1	g13368.t1	171	PROTEIN
g13369.t1	g13369.t1	965	PROTEIN
g13370.t1	g13370.t1	587	PROTEIN
g13371.t1	g13371.t1	87	PROTEIN
g13372.t1	g13372.t1	101	PROTEIN
g13373.t1	g13373.t1	226	PROTEIN
g13374.t1	g13374.t1	74	PROTEIN
g13375.t1	g13375.t1	205	PROTEIN
g13376.t1	g13376.t1	499	PROTEIN
g13377.t1	g13377.t1	111	PROTEIN
g13378.t1	g13378.t1	813	PROTEIN
g13379.t1	g13379.t1	95	PROTEIN
g13380.t1	g13380.t1	132	PROTEIN
g13381.t1	g13381.t1	347	PROTEIN
g13382.t1	g13382.t1	163	PROTEIN
g13383.t1	g13383.t1	132	PROTEIN
g13384.t1	g13384.t1	127	PROTEIN
g13385.t1	g13385.t1	224	PROTEIN
g13386.t1	g13386.t1	73	PROTEIN
g13387.t1	g13387.t1	193	PROTEIN
g13388.t1	g13388.t1	1079	PROTEIN
g13389.t1	g13389.t1	387	PROTEIN
g13390.t1	g13390.t1	321	PROTEIN
g13391.t1	g13391.t1	95	PROTEIN
g13392.t1	g13392.t1	96	PROTEIN
g13393.t1	g13393.t1	192	PROTEIN
g13394.t1	g13394.t1	251	PROTEIN
g13395.t1	g13395.t1	352	PROTEIN
g13396.t1	g13396.t1	143	PROTEIN
g13397.t1	g13397.t1	1855	PROTEIN
g13398.t1	g13398.t1	1139	PROTEIN
g13399.t1	g13399.t1	182	PROTEIN
g13400.t1	g13400.t1	345	PROTEIN
g13401.t1	g13401.t1	77	PROTEIN
g13402.t1	g13402.t1	134	PROTEIN
g13403.t1	g13403.t1	410	PROTEIN
g13404.t1	g13404.t1	85	PROTEIN
g13405.t2	g13405.t2	512	PROTEIN
g13406.t1	g13406.t1	201	PROTEIN
g13407.t1	g13407.t1	1423	PROTEIN
g13408.t1	g13408.t1	392	PROTEIN
g13409.t1	g13409.t1	409	PROTEIN
g13410.t1	g13410.t1	137	PROTEIN
g13411.t1	g13411.t1	1392	PROTEIN
g13412.t1	g13412.t1	433	PROTEIN
g13413.t1	g13413.t1	80	PROTEIN
g13414.t1	g13414.t1	99	PROTEIN
g13415.t1	g13415.t1	95	PROTEIN
g13416.t1	g13416.t1	127	PROTEIN
g13417.t2	g13417.t2	1537	PROTEIN
g13418.t1	g13418.t1	112	PROTEIN
g13419.t1	g13419.t1	68	PROTEIN
g13420.t2	g13420.t2	338	PROTEIN
g13421.t1	g13421.t1	936	PROTEIN
g13422.t1	g13422.t1	314	PROTEIN
g13423.t1	g13423.t1	102	PROTEIN
g13424.t1	g13424.t1	754	PROTEIN
g13425.t1	g13425.t1	148	PROTEIN
g13426.t1	g13426.t1	442	PROTEIN
g13427.t1	g13427.t1	311	PROTEIN
g13428.t1	g13428.t1	194	PROTEIN
g13429.t1	g13429.t1	114	PROTEIN
g13430.t1	g13430.t1	122	PROTEIN
g13431.t1	g13431.t1	591	PROTEIN
g13432.t1	g13432.t1	142	PROTEIN
g13433.t1	g13433.t1	55	PROTEIN
g13434.t1	g13434.t1	54	PROTEIN
g13435.t1	g13435.t1	57	PROTEIN
g13436.t1	g13436.t1	534	PROTEIN
g13437.t1	g13437.t1	96	PROTEIN
g13438.t1	g13438.t1	105	PROTEIN
g13439.t1	g13439.t1	205	PROTEIN
g13440.t1	g13440.t1	229	PROTEIN
g13441.t1	g13441.t1	155	PROTEIN
g13442.t1	g13442.t1	134	PROTEIN
g13443.t1	g13443.t1	974	PROTEIN
g13444.t1	g13444.t1	106	PROTEIN
g13445.t1	g13445.t1	204	PROTEIN
g13446.t1	g13446.t1	108	PROTEIN
g13447.t1	g13447.t1	182	PROTEIN
g13448.t1	g13448.t1	350	PROTEIN
g13449.t1	g13449.t1	864	PROTEIN
g13450.t1	g13450.t1	469	PROTEIN
g13451.t1	g13451.t1	705	PROTEIN
g13452.t1	g13452.t1	900	PROTEIN
g13453.t1	g13453.t1	604	PROTEIN
g13454.t1	g13454.t1	303	PROTEIN
g13455.t1	g13455.t1	133	PROTEIN
g13456.t1	g13456.t1	402	PROTEIN
g13457.t1	g13457.t1	241	PROTEIN
g13458.t1	g13458.t1	181	PROTEIN
g13459.t1	g13459.t1	70	PROTEIN
g13460.t1	g13460.t1	186	PROTEIN
g13461.t1	g13461.t1	117	PROTEIN
g13462.t1	g13462.t1	229	PROTEIN
g13463.t2	g13463.t2	1401	PROTEIN
g13464.t2	g13464.t2	4053	PROTEIN
g13465.t1	g13465.t1	249	PROTEIN
g13466.t1	g13466.t1	343	PROTEIN
g13467.t1	g13467.t1	93	PROTEIN
g13468.t1	g13468.t1	310	PROTEIN
g13469.t1	g13469.t1	607	PROTEIN
g13470.t1	g13470.t1	214	PROTEIN
g13471.t1	g13471.t1	154	PROTEIN
g13472.t1	g13472.t1	239	PROTEIN
g13473.t1	g13473.t1	205	PROTEIN
g13474.t1	g13474.t1	164	PROTEIN
g13475.t1	g13475.t1	117	PROTEIN
g13476.t1	g13476.t1	234	PROTEIN
g13477.t1	g13477.t1	117	PROTEIN
g13478.t1	g13478.t1	534	PROTEIN
g13479.t1	g13479.t1	495	PROTEIN
g13480.t1	g13480.t1	320	PROTEIN
g13481.t1	g13481.t1	321	PROTEIN
g13482.t1	g13482.t1	137	PROTEIN
g13483.t1	g13483.t1	111	PROTEIN
g13484.t1	g13484.t1	69	PROTEIN
g13485.t1	g13485.t1	67	PROTEIN
g13486.t1	g13486.t1	54	PROTEIN
g13487.t1	g13487.t1	916	PROTEIN
g13488.t1	g13488.t1	1036	PROTEIN
g13489.t1	g13489.t1	480	PROTEIN
g13490.t1	g13490.t1	75	PROTEIN
g13491.t1	g13491.t1	502	PROTEIN
g13492.t1	g13492.t1	537	PROTEIN
g13493.t1	g13493.t1	302	PROTEIN
g13494.t1	g13494.t1	250	PROTEIN
g13495.t2	g13495.t2	125	PROTEIN
g13496.t1	g13496.t1	136	PROTEIN
g13497.t1	g13497.t1	222	PROTEIN
g13498.t1	g13498.t1	16	PROTEIN
g13499.t1	g13499.t1	584	PROTEIN
g13500.t1	g13500.t1	360	PROTEIN
g13501.t1	g13501.t1	255	PROTEIN
g13502.t1	g13502.t1	215	PROTEIN
g13503.t1	g13503.t1	503	PROTEIN
g13504.t1	g13504.t1	699	PROTEIN
g13505.t1	g13505.t1	129	PROTEIN
g13506.t1	g13506.t1	68	PROTEIN
g13507.t1	g13507.t1	91	PROTEIN
g13508.t1	g13508.t1	155	PROTEIN
g13509.t1	g13509.t1	218	PROTEIN
g13510.t1	g13510.t1	119	PROTEIN
g13511.t1	g13511.t1	76	PROTEIN
g13512.t1	g13512.t1	3413	PROTEIN
g13513.t1	g13513.t1	795	PROTEIN
g13514.t1	g13514.t1	678	PROTEIN
g13515.t1	g13515.t1	452	PROTEIN
g13516.t1	g13516.t1	158	PROTEIN
g13517.t1	g13517.t1	429	PROTEIN
g13518.t1	g13518.t1	140	PROTEIN
g13519.t1	g13519.t1	457	PROTEIN
g13520.t1	g13520.t1	537	PROTEIN
g13521.t1	g13521.t1	546	PROTEIN
g13522.t1	g13522.t1	855	PROTEIN
g13523.t1	g13523.t1	439	PROTEIN
g13524.t1	g13524.t1	544	PROTEIN
g13525.t1	g13525.t1	727	PROTEIN
g13526.t1	g13526.t1	332	PROTEIN
g13527.t1	g13527.t1	2119	PROTEIN
g13528.t1	g13528.t1	769	PROTEIN
g13529.t1	g13529.t1	141	PROTEIN
g13530.t1	g13530.t1	146	PROTEIN
g13531.t1	g13531.t1	953	PROTEIN
