Protein_ID	Header	Length_aa	Contains_X	Contains_internal_stop
g1.t1	g1.t1	236	No	No
g2.t1	g2.t1	99	No	No
g3.t1	g3.t1	344	Yes	No
g4.t1	g4.t1	534	No	No
g5.t1	g5.t1	581	No	No
g6.t1	g6.t1	1093	No	No
g7.t1	g7.t1	541	No	No
g8.t1	g8.t1	168	No	No
g9.t1	g9.t1	342	No	No
g10.t1	g10.t1	541	No	No
g11.t1	g11.t1	539	No	No
g12.t1	g12.t1	294	No	No
g13.t1	g13.t1	404	Yes	No
g14.t1	g14.t1	88	No	No
g15.t1	g15.t1	130	No	No
g16.t1	g16.t1	74	No	No
g17.t1	g17.t1	95	No	No
g18.t1	g18.t1	160	No	No
g19.t1	g19.t1	74	No	No
g20.t1	g20.t1	379	No	No
g21.t1	g21.t1	155	No	No
g22.t1	g22.t1	60	No	No
g23.t1	g23.t1	161	No	No
g24.t1	g24.t1	326	No	No
g25.t1	g25.t1	144	No	No
g26.t1	g26.t1	280	No	No
g27.t1	g27.t1	569	No	No
g28.t1	g28.t1	118	No	No
g29.t1	g29.t1	141	No	No
g30.t1	g30.t1	192	No	No
g31.t1	g31.t1	193	No	No
g32.t1	g32.t1	91	No	No
g33.t1	g33.t1	386	No	No
g34.t1	g34.t1	1699	No	No
g35.t1	g35.t1	174	No	No
g36.t1	g36.t1	650	No	No
g37.t1	g37.t1	155	Yes	No
g38.t1	g38.t1	88	No	No
g39.t1	g39.t1	77	No	No
g40.t1	g40.t1	124	No	No
g41.t1	g41.t1	1406	No	No
g42.t2	g42.t2	323	No	No
g43.t1	g43.t1	289	Yes	No
g44.t1	g44.t1	331	No	No
g45.t1	g45.t1	78	No	No
g46.t1	g46.t1	79	No	No
g47.t1	g47.t1	92	No	No
g48.t1	g48.t1	165	No	No
g49.t1	g49.t1	212	Yes	No
g50.t3	g50.t3	893	No	No
g51.t1	g51.t1	252	No	No
g52.t1	g52.t1	226	No	No
g53.t1	g53.t1	510	No	No
