gene_id	protein_id	success	sequence_count	alignment_length	trimmed_alignment_length	model	ufboot_mean_pct	ufboot_min_pct	ufboot_max_pct	ufboot_nodes	sh_alrt_mean_pct	sh_alrt_min_pct	sh_alrt_max_pct	sh_alrt_nodes	error
g17827.t1	g17827.t1	True	11	1463	1016	Q.YEAST+I+G4	79.75	29.0	100.0	8	86.2125	16.2	100.0	8	
g96.t1	g96.t1	True	11	4823	945	LG+F+G4	86.25	48.0	100.0	8	79.9375	9.1	100.0	8	
g7468.t1	g7468.t1	True	11	1973	980	Q.YEAST+F+I+G4	67.0	22.0	100.0	8	71.4125	26.3	100.0	8	
g5044.t1	g5044.t1	True	11	1466	1443	JTTDCMUT+R2	77.83333333333333	28.0	100.0	6	85.18333333333334	19.6	100.0	6	
g3621.t1	g3621.t1	True	11	1980	950	WAG+F+I+G4	98.75	92.0	100.0	8	99.3375	96.1	100.0	8	
g3804.t1	g3804.t1	True	11	958	919	Q.PLANT+I+G4	89.0	62.0	100.0	8	94.55	75.6	100.0	8	
g13522.t1	g13522.t1	True	11	1054	853	Q.YEAST+I+G4	88.0	61.0	100.0	8	92.2875	62.8	100.0	8	
g18260.t1	g18260.t1	True	11	1240	1175	Q.INSECT+G4	90.125	47.0	100.0	8	85.75	11.2	100.0	8	
g10012.t1	g10012.t1	True	11	1328	1222	Q.INSECT+F+G4	97.0	89.0	100.0	8	97.8375	92.1	100.0	8	
g97.t1	g97.t1	True	11	2813	926	Q.YEAST+I+G4	88.0	58.0	100.0	8	85.625	41.3	100.0	8	
g1470.t1	g1470.t1	True	11	3380	681	WAG+F+G4	89.57142857142857	44.0	100.0	7	83.25714285714285	0.0	100.0	7	
g6035.t1	g6035.t1	True	11	757	662	LG+G4	87.625	45.0	100.0	8	83.475	1.5	100.0	8	
g3431.t1	g3431.t1	True	11	1073	690	Q.PFAM+G4	86.625	51.0	100.0	8	82.6125	14.8	100.0	8	
g9091.t1	g9091.t1	True	11	1511	677	JTT+I+R2	83.375	48.0	100.0	8	77.475	12.7	100.0	8	
g18787.t1	g18787.t1	True	11	680	554	WAG+G4	90.75	61.0	100.0	8	85.7375	26.6	100.0	8	
g1101.t2	g1101.t2	True	11	694	590	JTTDCMUT+G4	72.125	26.0	100.0	8	77.5	13.1	100.0	8	
g15833.t1	g15833.t1	True	11	790	727	Q.INSECT+I+G4	89.625	50.0	100.0	8	85.35	10.8	100.0	8	
g2734.t1	g2734.t1	True	11	468	466	LG+G4	81.625	58.0	100.0	8	75.7375	34.7	100.0	8	
g5153.t1	g5153.t1	True	11	1369	507	LG+F+G4	93.25	65.0	100.0	8	93.0125	60.6	100.0	8	
g19136.t1	g19136.t1	True	11	1324	507	LG+F+I+G4	92.625	68.0	100.0	8	94.95	70.6	100.0	8	
g16852.t1	g16852.t1	True	11	814	537	Q.YEAST+R2	93.375	68.0	100.0	8	93.2625	57.9	100.0	8	
g15563.t1	g15563.t1	True	11	466	429	Q.PFAM+G4	72.75	17.0	100.0	8	77.7625	3.9	100.0	8	
g14934.t1	g14934.t1	True	11	386	386	Q.PLANT+I	57.833333333333336	31.0	72.0	6	57.85	0.0	93.0	6	
g10898.t1	g10898.t1	True	11	485	446	CPREV+I+G4	80.625	52.0	100.0	8	86.5625	53.2	100.0	8	
g16796.t1	g16796.t1	True	11	495	473	CPREV+I+R2	90.125	65.0	100.0	8	94.1	79.9	100.0	8	
g14161.t1	g14161.t1	True	11	1073	659	WAG+R3	94.875	59.0	100.0	8	93.2875	48.2	100.0	8	
g6193.t1	g6193.t1	True	11	696	413	Q.PLANT+G4	93.125	49.0	100.0	8	89.2	17.8	100.0	8	
g15564.t1	g15564.t1	True	11	466	429	Q.PFAM+G4	76.25	27.0	100.0	8	87.8125	37.5	100.0	8	
g3535.t1	g3535.t1	True	11	433	407	Q.YEAST+I+G4	83.625	45.0	100.0	8	80.2	19.1	100.0	8	
g15566.t1	g15566.t1	True	11	482	407	Q.PLANT+G4	81.625	40.0	100.0	8	85.9625	47.3	100.0	8	
g14449.t1	g14449.t1	True	11	474	419	Q.PLANT+G4	92.0	70.0	100.0	8	94.2	78.9	100.0	8	
g2844.t1	g2844.t1	True	11	532	420	LG+I+G4	83.375	29.0	100.0	8	84.46249999999999	16.7	100.0	8	
g6034.t3	g6034.t3	True	11	1364	639	LG+G4	81.125	37.0	100.0	8	89.05	68.9	99.4	8	
g3537.t1	g3537.t1	True	11	403	396	Q.YEAST+G4	90.375	38.0	100.0	8	85.9875	0.0	100.0	8	
g1854.t1	g1854.t1	True	11	429	416	Q.PLANT+F+G4	75.875	40.0	100.0	8	85.925	66.1	100.0	8	
g17633.t1	g17633.t1	True	11	532	420	LG+I+G4	85.875	40.0	100.0	8	88.8125	46.9	100.0	8	
g19140.t1	g19140.t1	True	11	530	412	LG+I+G4	94.5	58.0	100.0	8	92.8875	46.6	100.0	8	
g1541.t1	g1541.t1	True	11	479	382	JTTDCMUT+G4	90.125	55.0	100.0	8	91.8875	62.3	100.0	8	
g15120.t1	g15120.t1	True	11	759	505	Q.PLANT+G4	85.25	48.0	100.0	8	83.6125	25.7	100.0	8	
g4892.t1	g4892.t1	True	11	545	355	LG+I+G4	79.75	43.0	100.0	8	81.075	33.0	100.0	8	
g3709.t1	g3709.t1	True	11	438	360	LG+I+G4	85.625	53.0	100.0	8	85.0875	35.2	100.0	8	
g4893.t1	g4893.t1	True	11	467	364	LG+I+G4	93.375	73.0	100.0	8	94.475	74.9	100.0	8	
g11500.t1	g11500.t1	True	11	464	446	Q.PFAM+G4	87.625	39.0	100.0	8	84.1	3.1	100.0	8	
g17098.t1	g17098.t1	True	11	426	415	Q.PLANT+I+G4	85.875	61.0	100.0	8	79.7375	25.1	100.0	8	
g2464.t1	g2464.t1	True	11	569	501	LG+G4	90.375	62.0	100.0	8	92.9125	64.2	100.0	8	
g17097.t1	g17097.t1	True	11	423	416	Q.YEAST+I+G4	89.75	69.0	100.0	8	88.625	54.5	100.0	8	
g94.t1	g94.t1	True	11	1979	947	WAG+F+I	86.125	62.0	100.0	8	92.575	75.9	100.0	8	
g2100.t1	g2100.t1	True	11	428	340	LG+G4	75.25	44.0	100.0	8	85.0	58.0	100.0	8	
g16245.t1	g16245.t1	True	11	1259	357	CPREV+G4	90.0	43.0	100.0	8	85.0375	3.0	100.0	8	
g4086.t1	g4086.t1	True	11	339	332	LG+F+G4	77.375	48.0	100.0	8	76.7625	14.3	100.0	8	
g8856.t1	g8856.t1	True	11	405	399	Q.PLANT+G4	89.75	48.0	100.0	8	88.7	35.0	100.0	8	
g4085.t1	g4085.t1	True	11	759	336	WAG+G4	73.625	19.0	100.0	8	90.0	67.8	100.0	8	
g4083.t1	g4083.t1	True	11	757	334	WAG+G4	88.625	71.0	100.0	8	93.175	80.8	100.0	8	
g4084.t1	g4084.t1	True	11	749	334	WAG+G4	70.5	33.0	100.0	8	82.6	28.3	100.0	8	
g4082.t1	g4082.t1	True	11	339	332	Q.PFAM+F+G4	65.25	26.0	100.0	8	90.0625	79.0	100.0	8	
g8855.t1	g8855.t1	True	11	408	399	Q.YEAST+I+G4	78.625	51.0	100.0	8	82.55	33.3	100.0	8	
g3538.t1	g3538.t1	True	11	1259	354	Q.PLANT+G4	89.375	50.0	100.0	8	85.1375	18.4	100.0	8	
g16240.t1	g16240.t1	True	11	428	395	Q.YEAST+G4	80.5	39.0	100.0	8	76.175	0.0	100.0	8	
g6292.t1	g6292.t1	True	11	418	370	JTTDCMUT+G4	90.125	70.0	100.0	8	91.05	69.7	100.0	8	
g3430.t1	g3430.t1	True	11	748	692	Q.PFAM+G4	86.375	60.0	100.0	8	81.65	18.5	100.0	8	
g2210.t1	g2210.t1	True	11	1180	393	WAG+F+G4	76.5	42.0	100.0	8	67.3	30.2	100.0	8	
g152.t1	g152.t1	True	11	415	375	JTT+G4	72.25	37.0	100.0	8	60.9125	0.0	100.0	8	
g18520.t1	g18520.t1	True	11	335	277	Q.PFAM+I+G4	84.75	45.0	100.0	8	76.15	7.7	100.0	8	
g16396.t1	g16396.t1	True	11	451	437	Q.PFAM+G4	83.0	47.0	100.0	8	78.6875	17.6	100.0	8	
g19654.t1	g19654.t1	True	11	278	265	Q.INSECT+G4	84.375	47.0	100.0	8	90.9	77.2	100.0	8	
g13775.t1	g13775.t1	True	11	262	256	Q.PFAM+G4	75.0	46.0	100.0	8	82.9125	43.6	100.0	8	
g13781.t1	g13781.t1	True	11	635	256	Q.INSECT+F+G4	79.875	50.0	100.0	8	88.1	67.3	100.0	8	
g13179.t1	g13179.t1	True	11	548	340	Q.PLANT+I+G4	67.75	42.0	100.0	8	75.975	35.3	100.0	8	
g13784.t1	g13784.t1	True	11	635	256	WAG+F+I	85.875	64.0	100.0	8	88.425	67.7	100.0	8	
g13777.t1	g13777.t1	True	11	277	256	WAG+F+G4	76.5	52.0	100.0	8	89.275	62.0	100.0	8	
g2864.t1	g2864.t1	True	11	484	263	WAG+G4	87.5	68.0	100.0	8	90.0625	70.2	100.0	8	
g4081.t1	g4081.t1	True	11	959	298	Q.PFAM+G4	82.5	51.0	100.0	8	90.125	71.8	100.0	8	
g13776.t1	g13776.t1	True	11	262	255	Q.PFAM+G4	79.125	51.0	100.0	8	79.0375	17.9	100.0	8	
g18546.t1	g18546.t1	True	11	369	268	Q.PFAM+G4	86.75	57.0	100.0	8	88.0875	54.9	100.0	8	
g2862.t1	g2862.t1	True	11	448	420	LG+G4	80.875	35.0	100.0	8	79.8375	19.8	100.0	8	
g15091.t1	g15091.t1	True	11	442	263	WAG+G4	78.625	40.0	100.0	8	76.7375	28.5	99.8	8	
g14298.t1	g14298.t1	True	11	442	263	WAG+G4	79.125	40.0	100.0	8	76.625	30.9	99.8	8	
g13783.t1	g13783.t1	True	11	641	257	Q.PFAM+G4	80.5	46.0	100.0	8	75.6125	6.9	100.0	8	
g15779.t1	g15779.t1	True	11	217	215	Q.PLANT+G4	81.625	33.0	100.0	8	85.91250000000001	34.9	100.0	8	
g4114.t1	g4114.t1	True	11	281	224	LG+G4	93.25	74.0	100.0	8	91.4375	58.6	100.0	8	
g16391.t1	g16391.t1	True	11	283	223	LG+I+G4	85.5	54.0	100.0	8	79.875	14.7	99.7	8	
g13779.t1	g13779.t1	True	11	637	257	WAG+F+G4	73.75	20.0	100.0	8	90.175	62.8	100.0	8	
g8852.t1	g8852.t1	True	11	244	240	LG+G4	65.375	43.0	93.0	8	58.8625	0.0	98.9	8	
g3539.t1	g3539.t1	True	11	424	382	Q.YEAST+G4	90.0	62.0	100.0	8	88.5125	49.3	100.0	8	
g10834.t1	g10834.t1	True	11	346	270	Q.PLANT+F+R2	66.85714285714286	44.0	100.0	7	71.88571428571429	36.0	100.0	7	
g4123.t1	g4123.t1	True	11	190	184	Q.PLANT+R2	71.125	32.0	100.0	8	80.4625	54.8	99.7	8	
g3686.t1	g3686.t1	True	11	264	260	WAG+G4	79.625	49.0	100.0	8	83.2375	51.5	100.0	8	
g16392.t1	g16392.t1	True	11	283	221	LG+I+G4	90.375	41.0	100.0	8	85.3125	3.3	99.9	8	
g14299.t1	g14299.t1	True	11	486	262	WAG+G4	75.5	43.0	100.0	8	84.2875	32.3	100.0	8	
g14301.t1	g14301.t1	True	11	965	263	Q.PFAM+G4	93.75	70.0	100.0	8	94.0625	71.5	100.0	8	
g13778.t1	g13778.t1	True	11	265	256	WAG+F+G4	90.125	76.0	100.0	8	93.0	83.3	99.3	8	
g4994.t1	g4994.t1	True	11	176	153	CPREV+G4	66.25	40.0	98.0	8	66.325	0.0	98.3	8	
g1247.t1	g1247.t1	True	11	571	468	JTTDCMUT+G4	64.25	26.0	100.0	8	71.7	13.6	99.9	8	
g4895.t1	g4895.t1	True	11	497	314	Q.YEAST+I+G4	83.625	63.0	99.0	8	82.6625	55.4	99.8	8	
g2865.t1	g2865.t1	True	11	964	262	WAG+G4	96.5	86.0	100.0	8	96.2625	88.4	100.0	8	
g13356.t1	g13356.t1	True	11	296	176	VT+I	65.28571428571429	33.0	100.0	7	59.18571428571429	0.0	99.5	7	
g7361.t1	g7361.t1	True	11	278	201	DAYHOFF+I+G4	78.0	49.0	100.0	8	84.5	35.7	100.0	8	
