qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle
g13247.t1	tr|A0ABN8I019|A0ABN8I019_9NEOP	36.364	77	259	1268	95.0	1.9	41.2	tr|A0ABN8I019|A0ABN8I019_9NEOP Ion transport domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS3923 PE=4 SV=1
g13247.t1	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP	24.194	248	259	2169	95.0	4.53e-05	55.8	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP Sodium channel protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS5909 PE=3 SV=1
g13247.t1	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI	24.194	248	259	2138	95.0	7.08e-05	55.1	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI Sodium channel protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS5736 PE=3 SV=1
g13247.t1	tr|A0AAD7YKG9|A0AAD7YKG9_MYTSE	24.194	248	259	2104	95.0	7.13e-05	55.1	tr|A0AAD7YKG9|A0AAD7YKG9_MYTSE Sodium channel protein OS=Mythimna separata OX=271217 GN=PYW07_005940 PE=3 SV=1
g13247.t1	tr|A0A9J7J0G0|A0A9J7J0G0_SPOLT	24.194	248	259	2042	95.0	6.21e-05	55.1	tr|A0A9J7J0G0|A0A9J7J0G0_SPOLT Sodium channel protein OS=Spodoptera litura OX=69820 GN=LOC111364596 PE=3 SV=1
g13247.t1	tr|A0A9R0DQE4|A0A9R0DQE4_SPOFR	24.194	248	259	2242	95.0	5.86e-05	55.5	tr|A0A9R0DQE4|A0A9R0DQE4_SPOFR Sodium channel protein OS=Spodoptera frugiperda OX=7108 GN=LOC118265942 PE=3 SV=1
g13248.t1	tr|A0ABD3WN82|A0ABD3WN82_SINWO	29.358	109	151	328	72.0	8.25e-07	57.4	tr|A0ABD3WN82|A0ABD3WN82_SINWO Uncharacterized protein OS=Sinanodonta woodiana OX=1069815 GN=ACJMK2_033381 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.891	119	151	4976	90.0	4.05e-07	58.9	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.891	119	151	4976	90.0	4.05e-07	58.9	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	25.21	119	151	4976	90.0	2e-06	57.0	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	25.21	119	151	4976	90.0	2e-06	57.0	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.05	119	151	4976	90.0	2.24e-06	56.6	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.05	119	151	4976	90.0	2.24e-06	56.6	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.05	119	151	4976	90.0	2.24e-06	56.6	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
g13248.t1	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE	26.05	119	151	4976	90.0	2.24e-06	56.6	tr|A0ACF8XXU8|A0ACF8XXU8_MNELE Uncharacterized protein OS=Mnemiopsis leidyi OX=27923 GN=ACHWQZ_G015545 PE=4 SV=1
