gene_id,target_group,best_hit_accession,best_hit_species,identity_pct,query_coverage_pct,evalue,bitscore,classification,qc_decision,best_hit_description,manual_review_note
g20483.t1,Chitin deacetylase,sp|H9JW43|CDA8_BOMMO,Bombyx mori,67.397,96.0,0.0,555.0,Arthropod,KEEP,sp|H9JW43|CDA8_BOMMO Chitin deacetylase 8 OS=Bombyx mori OX=7091 GN=CDA8 PE=1 SV=2,Direct chitin/cuticle-related annotation; retain as candidate.
g21462.t1,Chitin synthase,sp|G5EBQ8|CHS2_CAEEL,Caenorhabditis elegans,44.739,90.0,0.0,912.0,Other non-arthropod,FLAG_REVIEW,sp|G5EBQ8|CHS2_CAEEL Chitin synthase chs-2 OS=Caenorhabditis elegans OX=6239 GN=chs-2 PE=1 SV=1,"Strong chitin-related functional hit, but best hit is Caenorhabditis elegans (non-arthropod); retain for functional review, do not call contamination solely from this hit."
g22997.t2,Chitinase,sp|P36362|CHIT_MANSE,Manduca sexta,75.746,91.0,0.0,846.0,Arthropod,KEEP,sp|P36362|CHIT_MANSE Endochitinase OS=Manduca sexta OX=7130 PE=2 SV=1,Direct chitin/cuticle-related annotation; retain as candidate.
g23171.t1,Chitinase,sp|Q9W092|CHIT2_DROME,Drosophila melanogaster,41.646,72.0,3.22e-96,306.0,Arthropod,KEEP,sp|Q9W092|CHIT2_DROME Probable chitinase 2 OS=Drosophila melanogaster OX=7227 GN=Cht2 PE=1 SV=1,Direct chitin/cuticle-related annotation; retain as candidate.
g20778.t1,Cuticle protein,sp|P42852|CUPP_BOMMO,Bombyx mori,69.615,100.0,1.26e-70,223.0,Arthropod,KEEP,sp|P42852|CUPP_BOMMO Pupal cuticle protein OS=Bombyx mori OX=7091 GN=PCP PE=2 SV=1,Direct chitin/cuticle-related annotation; retain as candidate.
g26277.t1,Cuticle protein,sp|Q17015|CU01_ANOGA,Anopheles gambiae,48.707,99.0,2.13e-44,154.0,Arthropod,KEEP,sp|Q17015|CU01_ANOGA Cuticle protein OS=Anopheles gambiae OX=7165 GN=Ccp84Ab PE=2 SV=3,Direct chitin/cuticle-related annotation; retain as candidate.
g20594.t1,Cuticle protein,sp|O02387|CU17_BOMMO,Bombyx mori,49.296,99.0,3.02e-38,133.0,Arthropod,KEEP,sp|O02387|CU17_BOMMO Larval cuticle protein LCP-17 OS=Bombyx mori OX=7091 GN=LCP17 PE=2 SV=1,Direct chitin/cuticle-related annotation; retain as candidate.
g20593.t1,Cuticle protein,sp|O02387|CU17_BOMMO,Bombyx mori,44.937,93.0,3.1800000000000004e-35,126.0,Arthropod,KEEP,sp|O02387|CU17_BOMMO Larval cuticle protein LCP-17 OS=Bombyx mori OX=7091 GN=LCP17 PE=2 SV=1,Direct chitin/cuticle-related annotation; retain as candidate.
g24915.t1,Cuticle protein,sp|P45589|CU12_HYACE,Hyalophora cecropia,54.286,98.0,3.93e-28,104.0,Other non-arthropod,FLAG_REVIEW,sp|P45589|CU12_HYACE Flexible cuticle protein 12 OS=Hyalophora cecropia OX=7123 GN=CP12 PE=2 SV=1,Likely insect/Lepidoptera hit; contamination keyword screen misclassified this species as non-arthropod. Keep for manual review.
g23612.t1,Cuticle protein,sp|P85195|CU01_LONON,Lonomia obliqua,55.758,100.0,4.63e-18,83.2,Other non-arthropod,FLAG_REVIEW,sp|P85195|CU01_LONON Cuticle protein 1 OS=Lonomia obliqua OX=304329 PE=1 SV=2,Likely insect/Lepidoptera hit; contamination keyword screen misclassified this species as non-arthropod. Keep for manual review.
g23241.t1,Cuticle protein,sp|P45589|CU12_HYACE,Hyalophora cecropia,38.75,73.0,5.99e-16,73.9,Other non-arthropod,FLAG_REVIEW,sp|P45589|CU12_HYACE Flexible cuticle protein 12 OS=Hyalophora cecropia OX=7123 GN=CP12 PE=2 SV=1,Likely insect/Lepidoptera hit; contamination keyword screen misclassified this species as non-arthropod. Keep for manual review.
g22645.t1,Cuticle protein,sp|Q94804|CU23_TENMO,Tenebrio molitor,39.689,100.0,1.54e-06,55.5,Arthropod,KEEP,sp|Q94804|CU23_TENMO Cuticle protein LPCP-23 OS=Tenebrio molitor OX=7067 GN=LPCP-23 PE=3 SV=2,Direct chitin/cuticle-related annotation; retain as candidate.
