qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle
g19871.t1	sp|Q9V5E1|PAL1_DROME	51.471	204	199	541	97	1.19e-57	196	sp|Q9V5E1|PAL1_DROME Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 1 OS=Drosophila melanogaster OX=7227 GN=Pal1 PE=1 SV=1
g19871.t1	sp|P12890|AMDB_XENLA	49.485	194	199	875	95	5.98e-56	196	sp|P12890|AMDB_XENLA Peptidyl-glycine alpha-amidating monooxygenase B OS=Xenopus laevis OX=8355 GN=pam-b PE=2 SV=1
g19871.t1	sp|P08478|AMDA_XENLA	48.969	194	199	935	95	7.94e-55	194	sp|P08478|AMDA_XENLA Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis OX=8355 GN=pam-a PE=1 SV=3
g19871.t1	sp|P19021|AMD_HUMAN	45.876	194	199	973	95	1.01e-51	185	sp|P19021|AMD_HUMAN Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens OX=9606 GN=PAM PE=1 SV=2
g19871.t1	sp|P97467|AMD_MOUSE	45.361	194	199	979	95	2.14e-51	184	sp|P97467|AMD_MOUSE Peptidyl-glycine alpha-amidating monooxygenase OS=Mus musculus OX=10090 GN=Pam PE=1 SV=2
g19872.t1	sp|P83863|H2B_PENVA	96.154	52	53	116	98	3.61e-30	107	sp|P83863|H2B_PENVA Histone H2B (Fragments) OS=Penaeus vannamei OX=6689 PE=1 SV=2
g19872.t1	sp|Q27442|H2B_ANOGA	96.154	52	53	124	98	4.21e-30	108	sp|Q27442|H2B_ANOGA Histone H2B OS=Anopheles gambiae OX=7165 GN=AGAP012199 PE=2 SV=5
g19872.t1	sp|Q76FF3|H2B_DROTE	96.154	52	53	123	98	4.72e-30	107	sp|Q76FF3|H2B_DROTE Histone H2B OS=Drosophila teissieri OX=7243 GN=His2B PE=3 SV=3
g19872.t1	sp|P59782|H2B_DROSI	96.154	52	53	123	98	4.72e-30	107	sp|P59782|H2B_DROSI Histone H2B OS=Drosophila simulans OX=7240 GN=His2B PE=3 SV=2
g19872.t1	sp|Q76FE9|H2B_DROOR	96.154	52	53	123	98	4.72e-30	107	sp|Q76FE9|H2B_DROOR Histone H2B OS=Drosophila orena OX=7233 GN=His2B PE=3 SV=3
g19875.t1	sp|Q6JEL2|KLH10_HUMAN	45.878	558	628	608	89	4.29e-178	525	sp|Q6JEL2|KLH10_HUMAN Kelch-like protein 10 OS=Homo sapiens OX=9606 GN=KLHL10 PE=1 SV=1
g19875.t1	sp|Q6JEL3|KLH10_RAT	45.699	558	628	608	89	5.49e-177	522	sp|Q6JEL3|KLH10_RAT Kelch-like protein 10 OS=Rattus norvegicus OX=10116 GN=Klhl10 PE=1 SV=1
g19875.t1	sp|Q9D5V2|KLH10_MOUSE	45.699	558	628	608	89	6.26e-177	522	sp|Q9D5V2|KLH10_MOUSE Kelch-like protein 10 OS=Mus musculus OX=10090 GN=Klhl10 PE=1 SV=1
