Gene_ID,Length,GC(%),N_Count,Invalid_Characters
g1,1057,35.48,0,
g10,4543,36.87,0,
g100,21827,34.68,0,
g1000,642,39.88,0,
g10000,16354,35.7,0,
g10001,33728,36.95,0,
g10002,3816,30.95,0,
g10003,18720,35.84,0,
g10004,4770,37.48,0,
g10005,31259,36.89,0,
g10006,3582,30.9,0,
g10007,309,54.37,0,
g10008,59607,35.27,0,
g10009,231,56.28,0,
g1001,18985,37.21,0,
g10010,270,52.59,0,
g10011,2226,40.25,0,
g10012,2429,37.59,0,
g10013,3233,40.55,0,
g10014,5532,40.42,0,
g10015,303,57.43,0,
g10016,9062,37.38,0,
g10017,9569,39.48,0,
g10018,16565,36.02,0,
g10019,8876,37.05,0,
g1002,24172,36.77,0,
g10020,3551,57.87,0,
g10021,41869,37.27,0,
g10022,3425,39.07,0,
g10023,1744,38.19,0,
g10024,1033,56.63,0,
g10025,16863,35.64,0,
g10026,483,54.66,0,
g10027,12896,35.27,0,
g10028,14423,37.43,0,
g10029,15373,35.64,0,
g1003,3638,35.51,0,
g10030,2592,38.08,0,
g10031,11096,31.75,0,
g10032,4704,37.44,0,
g10033,40376,36.69,0,
g10034,357,46.78,0,
g10035,2809,38.41,0,
g10036,288,62.5,0,
g10037,1584,48.04,0,
g10038,13512,36.6,0,
g10039,6138,36.17,0,
g1004,5113,38.65,0,
g10040,900,34.33,0,
g10041,1689,28.89,0,
g10042,1765,32.52,0,
g10043,5554,33.49,0,
g10044,18636,33.79,0,
g10045,6627,39.22,0,
g10046,692,44.36,0,
g10047,1264,38.13,0,
g10048,4214,39.75,0,
g10049,11621,42.46,0,
g1005,1926,37.18,0,
g10050,12754,37.87,0,
g10051,32970,37.45,0,
g10052,8769,37.01,0,
g10053,12811,33.8,0,
g10054,7697,36.36,0,
g10055,4497,36.31,0,
g10056,4775,41.8,0,
g10057,6712,40.82,0,
g10058,267,50.19,0,
g10059,13898,37.89,0,
g1006,65835,34.33,0,
g10060,79451,35.95,0,
g10061,4769,33.74,0,
g10062,300,59.67,0,
g10063,997,33.9,0,
g10064,2594,39.71,0,
g10065,5863,41.31,0,
g10066,30542,37.58,0,
g10067,13800,35.36,0,
g10068,5524,37.74,0,
g10069,27284,39.68,0,
g1007,17532,40.05,0,
g10070,8921,33.36,0,
g10071,6493,44.94,0,
g10072,276,43.48,0,
g10073,561,42.07,0,
g10074,11084,32.25,0,
g10075,21295,33.86,0,
g10076,38148,34.4,0,
g10077,4303,32.44,0,
g10078,22688,32.27,0,
g10079,729,63.24,0,
g1008,6464,37.7,0,
g10080,39206,37.43,0,
g10081,5694,38.81,0,
g10082,8596,36.9,0,
g10083,36206,36.65,0,
g10084,20368,36.96,0,
g10085,13788,34.73,0,
g10086,36529,34.99,0,
g10087,44158,36.26,0,
g10088,5941,33.43,0,
g10089,7920,36.6,0,
g1009,7270,38.36,0,
g10090,45529,36.32,0,
g10091,597,40.54,0,
g10092,27681,35.89,0,
g10093,2858,31.49,0,
g10094,44088,34.25,0,
g10095,6002,33.02,0,
g10096,237,51.48,0,
g10097,814,39.68,0,
g10098,1994,40.02,0,
g10099,243,57.61,0,
g101,13968,38.13,0,
g1010,3369,40.49,0,
g10100,2985,39.1,0,
g10101,546,49.63,0,
g10102,10633,34.83,0,
g10103,3717,34.6,0,
g10104,9902,35.08,0,
g10105,1643,42.48,0,
g10106,10093,39.15,0,
g10107,2423,37.23,0,
g10108,1373,40.2,0,
g10109,342,48.54,0,
g1011,12915,32.67,0,
g10110,3499,38.3,0,
g10111,100277,36.8,0,
g10112,1365,37.73,0,
g10113,372,34.68,0,
g10114,8206,41.32,0,
g10115,44680,36.57,0,
g10116,7115,32.03,0,
g10117,996,58.13,0,
g10118,25849,38.13,0,
g10119,8192,36.67,0,
g1012,21174,34.5,0,
g10120,24047,37.0,0,
g10121,7022,34.42,0,
g10122,6962,36.77,0,
g10123,309,76.05,0,
g10124,849,50.41,0,
g10125,29903,35.58,0,
g10126,6495,39.41,0,
g10127,1020,37.65,0,
g10128,1297,47.49,0,
g10129,2794,36.04,0,
g1013,5178,32.95,0,
g10130,4140,33.57,0,
g10131,1717,53.06,0,
g10132,10861,34.75,0,
g10133,1748,39.13,0,
g10134,3451,34.92,0,
g10135,5960,37.95,0,
g10136,5893,34.33,0,
g10137,522,41.95,0,
g10138,65906,35.6,0,
g10139,15094,39.45,0,
g1014,5994,33.67,0,
g10140,207,66.67,0,
g10141,249,57.43,0,
g10142,8373,35.35,0,
g10143,22924,35.47,0,
g10144,64712,37.05,0,
g10145,12779,36.7,0,
g10146,436,30.5,0,
g10147,15823,32.74,0,
g10148,37725,36.77,0,
g10149,33636,35.93,0,
g1015,5577,33.21,0,
g10150,1355,30.77,0,
g10151,30455,37.82,0,
g10152,5680,41.76,0,
g10153,4503,35.24,0,
g10154,15441,34.55,0,
g10155,4527,40.78,0,
g10156,1100,41.73,0,
g10157,2713,34.98,0,
g10158,1170,39.15,0,
g10159,22861,36.48,0,
g1016,5640,35.74,0,
g10160,2139,34.83,0,
g10161,33969,37.13,0,
g10162,5283,36.91,0,
g10163,207,61.35,0,
g10164,360,70.56,0,
g10165,1888,39.51,0,
g10166,8738,39.49,0,
g10167,1384,34.1,0,
g10168,6609,35.41,0,
g10169,474,55.7,0,
g1017,3647,31.56,0,
g10170,6723,41.5,0,
g10171,28485,35.76,0,
g10172,21235,34.44,0,
g10173,8979,48.1,0,
g10174,5777,40.7,0,
g10175,5122,41.98,0,
g10176,219,57.99,0,
g10177,5585,37.26,0,
g10178,9954,39.0,0,
g10179,3202,33.42,0,
g1018,4840,31.34,0,
g10180,2951,33.48,0,
g10181,489,51.94,0,
g10182,59530,37.82,0,
g10183,8262,33.39,0,
g10184,6585,34.0,0,
g10185,2234,33.12,0,
g10186,4132,35.38,0,
g10187,12604,37.86,0,
g10188,28725,35.9,0,
g10189,612,39.87,0,
g1019,9981,34.11,0,
g10190,5188,39.09,0,
g10191,330,48.18,0,
g10192,9952,38.42,0,
g10193,5503,29.87,0,
g10194,4572,30.91,0,
g10195,3771,41.42,0,
g10196,447,38.48,0,
g10197,1594,39.34,0,
g10198,684,39.18,0,
g10199,1845,40.16,0,
g102,12699,33.04,0,
g1020,477,35.01,0,
g10200,1983,29.65,0,
g10201,21869,42.52,0,
g10202,12928,32.93,0,
g10203,44569,37.16,0,
g10204,2686,35.59,0,
g10205,3170,35.24,0,
g10206,801,44.32,0,
g10207,13915,34.26,0,
g10208,2617,34.93,0,
g10209,3763,33.96,0,
g1021,6084,34.22,0,
g10210,11909,36.18,0,
g10211,84443,36.96,0,
g10212,309,58.58,0,
g10213,1061,48.26,0,
g10214,1263,41.65,0,
g10215,25748,36.15,0,
g10216,15666,34.55,0,
g10217,6219,32.13,0,
g10218,1666,32.95,0,
g10219,4896,30.84,0,
g1022,16046,34.4,0,
g10220,662,51.96,0,
g10221,213,67.61,0,
g10222,9192,39.99,0,
g10223,995,35.68,0,
g10224,1849,34.99,0,
g10225,1613,39.31,0,
g10226,1433,32.66,0,
g10227,6530,38.45,0,
g10228,13141,34.46,0,
g10229,390,35.9,0,
g1023,264,45.08,0,
g10230,4634,37.38,0,
g10231,10684,33.46,0,
g10232,41822,37.79,0,
g10233,14702,36.72,0,
g10234,14460,35.55,0,
g10235,11013,34.49,0,
g10236,9964,35.26,0,
g10237,15741,35.45,0,
g10238,3987,42.71,0,
g10239,50719,38.45,0,
g1024,1023,63.93,0,
g10240,1783,46.16,0,
g10241,420,65.24,0,
g10242,333,62.16,0,
g10243,270,65.19,0,
g10244,12975,33.87,0,
g10245,309,53.72,0,
g10246,1395,32.97,0,
g10247,3202,33.35,0,
g10248,336,63.69,0,
g10249,8702,37.23,0,
g1025,1850,42.0,0,
g10250,22602,37.89,0,
g10251,48403,36.18,0,
g10252,774,61.76,0,
g10253,634,48.9,0,
g10254,3281,35.26,0,
g10255,17737,38.51,0,
g10256,4501,45.75,0,
g10257,11800,34.97,0,
g10258,2000,46.9,0,
g10259,112149,35.69,0,
g1026,237,55.27,0,
g10260,4073,35.6,0,
g10261,1760,42.05,0,
g10262,270,68.52,0,
g10263,1218,70.94,0,
g10264,78751,36.7,0,
g10265,25573,34.93,0,
g10266,10687,34.07,0,
g10267,3524,31.87,0,
g10268,5062,34.75,0,
g10269,447,35.35,0,
g1027,1341,63.61,0,
g10270,11116,33.86,0,
g10271,303,56.77,0,
g10272,756,33.2,0,
g10273,4572,37.88,0,
g10274,1356,37.24,0,
g10275,483,57.56,0,
g10276,4789,39.55,0,
g10277,23011,35.82,0,
g10278,31860,36.63,0,
g10279,11279,37.41,0,
g1028,4327,35.61,0,
g10280,348,58.05,0,
g10281,5985,36.79,0,
g10282,3647,35.32,0,
g10283,12926,35.39,0,
g10284,6120,37.79,0,
g10285,222,42.34,0,
g10286,8522,35.57,0,
g10287,5292,33.84,0,
g10288,729,62.83,0,
g10289,867,62.98,0,
g1029,1236,34.95,0,
g10290,735,60.14,0,
g10291,10813,34.67,0,
g10292,1917,33.8,0,
g10293,5057,35.44,0,
g10294,1058,35.07,0,
g10295,20398,35.37,0,
g10296,10855,38.93,0,
g10297,5016,34.89,0,
g10298,37611,35.89,0,
g10299,22083,35.52,0,
g103,46229,36.44,0,
g1030,2550,41.96,0,
g10300,2740,37.63,0,
g10301,267,55.43,0,
g10302,825,51.76,0,
g10303,971,41.5,0,
g10304,294,58.5,0,
g10305,267,53.93,0,
g10306,3648,43.67,0,
g10307,420,64.76,0,
g10308,315,59.68,0,
g10309,204,75.98,0,
g1031,5854,41.42,0,
g10310,252,61.9,0,
g10311,3819,33.62,0,
g10312,15982,39.06,0,
g10313,44813,36.65,0,
g10314,30680,36.13,0,
g10315,13708,35.23,0,
g10316,1233,29.85,0,
g10317,51678,35.17,0,
g10318,20159,37.28,0,
g10319,9483,31.11,0,
g1032,22247,44.4,0,
g10320,3198,32.71,0,
g10321,17253,32.82,0,
g10322,45028,37.81,0,
g10323,7984,33.45,0,
g10324,171978,36.46,0,
g10325,13892,33.65,0,
g10326,537,63.31,0,
g10327,501,62.08,0,
g10328,325,66.15,0,
g10329,2505,41.16,0,
g1033,5367,36.07,0,
g10330,13700,35.07,0,
g10331,14912,33.37,0,
g10332,13027,32.48,0,
g10333,19570,33.63,0,
g10334,17525,36.83,0,
g10335,19470,37.52,0,
g10336,7904,33.62,0,
g10337,6942,34.64,0,
g10338,35721,35.87,0,
g10339,216,50.46,0,
g1034,4018,41.66,0,
g10340,14015,32.37,0,
g10341,2175,32.92,0,
g10342,25332,35.82,0,
g10343,1276,32.21,0,
g10344,1970,31.32,0,
g10345,9795,35.74,0,
g10346,9593,35.77,0,
g10347,7545,35.12,0,
g10348,5380,31.84,0,
g10349,246,60.98,0,
g1035,26770,33.3,0,
g10350,97562,37.51,0,
g10351,1335,37.45,0,
g10352,7466,37.61,0,
g10353,2974,37.32,0,
g10354,8170,37.5,0,
g10355,11049,33.53,0,
g10356,2724,35.24,0,
g10357,14790,35.63,0,
g10358,1755,32.82,0,
