gene_id	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_hits	bacterial_hits	fungal_hits	non_arthropod_eukaryote_hits	other_prokaryote_hits	unknown_taxonomy_hits	known_taxonomy_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	classification	decision	reason	best_hit_description
g13247.t1	tr|A0A835L995|A0A835L995_SPOEX	Spodoptera exigua	7107	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	94.715	95.0	6.06e-161	458.0	10	16	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0A835L995|A0A835L995_SPOEX Ion transport domain-containing protein OS=Spodoptera exigua OX=7107 GN=HW555_000244 PE=4 SV=1
g13248.t1	tr|R7UBV4|R7UBV4_CAPTE	Capitella teleta	283909	Eukaryota; Metazoa; Annelida; Polychaeta; 	32.812	85.0	1.1e-11	68.9	20	124	7	0	0	13	0	0	20	0.35	0.0	0.0	0.65	0.0	AMBIGUOUS	AMBIGUOUS	No taxonomic group reached the 70% dominance threshold among taxonomically resolved qualifying hits.	tr|R7UBV4|R7UBV4_CAPTE Uncharacterized protein OS=Capitella teleta OX=283909 PE=4 SV=1
g13249.t1	tr|A0A4C1U2U7|A0A4C1U2U7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	88.333	94.0	1.26e-31	116.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0A4C1U2U7|A0A4C1U2U7_EUMVA Suppressor of hairless protein OS=Eumeta variegata OX=151549 GN=Su(H) PE=4 SV=1
g13250.t1	tr|A0A4C1U3E4|A0A4C1U3E4_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	96.296	99.0	0.0	4326.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0A4C1U3E4|A0A4C1U3E4_EUMVA Myosin-VIIa OS=Eumeta variegata OX=151549 GN=ck PE=3 SV=1
g13251.t2	tr|A0ABQ7QWX0|A0ABQ7QWX0_PLUXY	Plutella xylostella	51655	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	72.378	99.0	0.0	2816.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0ABQ7QWX0|A0ABQ7QWX0_PLUXY Cadherin domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_003998 PE=4 SV=1
g13252.t1	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	44.304	70.0	4.7e-09	61.2	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA Gustatory receptor OS=Eumeta variegata OX=151549 GN=EVAR_97924_1 PE=4 SV=1
g13253.t1									0	7	0	0	0	0	0	0	0	0	0	0	0	0	NO_QUALIFYING_HIT	NO_QUALIFYING_HIT	No BLAST hit passed all three quality thresholds.	
g13254.t1	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	52.147	99.0	9.76e-48	162.0	11	11	11	0	0	0	0	0	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA Gustatory receptor OS=Eumeta variegata OX=151549 GN=EVAR_97924_1 PE=4 SV=1
g13255.t1	tr|A0ABR3H869|A0ABR3H869_LOXSC	Loxostege sticticalis	481309	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	74.408	97.0	3.29e-107	316.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0ABR3H869|A0ABR3H869_LOXSC Uncharacterized protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_009416 PE=4 SV=1
g13256.t1	tr|A0ABD0SDB3|A0ABD0SDB3_LOXSC	Loxostege sticticalis	481309	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	64.906	75.0	1.12e-95	294.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	tr|A0ABD0SDB3|A0ABD0SDB3_LOXSC Uncharacterized protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_009414 PE=4 SV=1
