gene_id	protein_id	top_hit_sseqid	top_hit_accession	top_hit_identity_pct	top_hit_query_coverage_pct	top_hit_evalue	top_hit_bitscore	top_hit_description	interpro_evidence	phylo_success	phylo_sequence_count	alignment_length	trimmed_alignment_length	iqtree_model	ufboot_mean_pct	ufboot_min_pct	ufboot_max_pct	ufboot_nodes	sh_alrt_mean_pct	sh_alrt_min_pct	sh_alrt_max_pct	sh_alrt_nodes	phylo_error
g17827.t1	g17827.t1	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA	A0A4C1ZL26	92.369	99	0.0	1952.0	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA Presequence protease, mitochondrial OS=Eumeta variegata OX=151549 GN=EVAR_102499_1 PE=3 SV=1	G3DSA:3.30.830.10: -; SSF63411: LuxS/MPP-like metallohydrolase; InterPro=IPR011249; PF08367: Peptidase M16C associated; InterPro=IPR013578; G3DSA:3.30.830.10:FF:000013: Mitochondrial presequence protease; PF22516: PreP C-terminal domain; InterPro=IPR055130; G3DSA:3.30.830.10:FF:000009: Presequence protease, mitochondrial; SM01264: M16C_assoc_2; PTHR43016: PRESEQUENCE PROTEASE; PF00675: Insulinase (Peptidase family M16); InterPro=IPR011765; G3DSA:3.30.830.10:FF:000011: Presequence protease, mitochondrial; PF05193: Peptidase M16 inactive domain; InterPro=IPR007863	True	11	1463	1016	Q.YEAST+I+G4	79.75	29.0	100.0	8	86.2125	16.2	100.0	8	
g96.t1	g96.t1	tr|A0A4C1W529|A0A4C1W529_EUMVA	A0A4C1W529	88.782	95	0.0	1752.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95138_1 PE=3 SV=1	"cd09601: M1_APN-Q_like; InterPro=IPR034016; G3DSA:1.10.390.10:FF:000013: Aminopeptidase N; PF17900: Peptidase M1 N-terminal domain; InterPro=IPR045357; G3DSA:1.10.390.10: Neutral Protease Domain 2; InterPro=IPR027268; SSF63737: Leukotriene A4 hydrolase N-terminal domain; InterPro=IPR042097; G3DSA:2.60.40.1730: tricorn interacting facor f3 domain; G3DSA:2.60.40.1910:FF:000008: Aminopeptidase; PF11838: ERAP1-like C-terminal domain; InterPro=IPR024571; SSF55486: Metalloproteases (""zincins""), catalytic domain; G3DSA:2.60.40.1910: -; PR00756: Membrane alanyl dipeptidase (M1) family signature; InterPro=IPR001930; PF01433: Peptidase family M1 domain; InterPro=IPR014782; G3DSA:1.25.50.20: -; PTHR11533: PROTEASE M1 ZINC METALLOPROTEASE; InterPro=IPR050344"	True	11	4823	945	LG+F+G4	86.25	48.0	100.0	8	79.9375	9.1	100.0	8	
g7468.t1	g7468.t1	tr|A0A4C1W8E5|A0A4C1W8E5_EUMVA	A0A4C1W8E5	80.98	98	0.0	1751.0	Membrane alanyl aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95134_1 PE=3 SV=1	"G3DSA:1.10.390.10: Neutral Protease Domain 2; InterPro=IPR027268; G3DSA:2.60.40.1910: -; G3DSA:1.25.50.20: -; PTHR11533: PROTEASE M1 ZINC METALLOPROTEASE; InterPro=IPR050344; PF11838: ERAP1-like C-terminal domain; InterPro=IPR024571; SSF55486: Metalloproteases (""zincins""), catalytic domain; PF17900: Peptidase M1 N-terminal domain; InterPro=IPR045357; SSF63737: Leukotriene A4 hydrolase N-terminal domain; InterPro=IPR042097; G3DSA:2.60.40.1730: tricorn interacting facor f3 domain; PF01433: Peptidase family M1 domain; InterPro=IPR014782"	True	11	1973	980	Q.YEAST+F+I+G4	67.0	22.0	100.0	8	71.4125	26.3	100.0	8	
g5044.t1	g5044.t1	tr|A0AAV1K2K6|A0AAV1K2K6_9NEOP	A0AAV1K2K6	77.943	100	0.0	1723.0	Receptor protein-tyrosine kinase OS=Leptosia nina OX=320188 GN=LNINA_LOCUS13499 PE=3 SV=1	PS50011: Protein kinase domain profile.; InterPro=IPR000719; G3DSA:1.10.510.10: Transferase(Phosphotransferase) domain 1; SSF57184: Growth factor receptor domain; InterPro=IPR009030; SSF52058: L domain-like; G3DSA:3.30.200.20: Phosphorylase Kinase; domain 1; PF14843: Growth factor receptor domain IV; InterPro=IPR032778; cd00064: FU; InterPro=IPR006212; G3DSA:3.30.200.20:FF:000422: Receptor protein-tyrosine kinase; PS00107: Protein kinases ATP-binding region signature.; InterPro=IPR017441; cd05057: PTKc_EGFR_like; PR00109: Tyrosine kinase catalytic domain signature; InterPro=IPR001245; G3DSA:2.10.220.10: -; PF01030: Receptor L domain; InterPro=IPR000494; SM00261: furin_3; G3DSA:3.80.20.20: -; InterPro=IPR036941; mobidb-lite: consensus disorder prediction; G3DSA:2.10.220.10:FF:000024: Receptor protein-tyrosine kinase; SSF56112: Protein kinase-like (PK-like); InterPro=IPR011009; PF07714: Protein tyrosine and serine/threonine kinase; PTHR24416: TYROSINE-PROTEIN KINASE RECEPTOR; InterPro=IPR050122; G3DSA:2.10.220.10:FF:000002: Receptor protein-tyrosine kinase; G3DSA:1.10.510.10:FF:000233: receptor tyrosine-protein kinase erbB-3; SM00219: tyrkin_6; InterPro=IPR020635; PS00109: Tyrosine protein kinases specific active-site signature.; InterPro=IPR008266	True	11	1466	1443	JTTDCMUT+R2	77.83333333333333	28.0	100.0	6	85.18333333333334	19.6	100.0	6	
g3621.t1	g3621.t1	tr|A0A4C1W5T8|A0A4C1W5T8_EUMVA	A0A4C1W5T8	86.149	100	0.0	1704.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95141_1 PE=3 SV=1	"cd09601: M1_APN-Q_like; InterPro=IPR034016; PF01433: Peptidase family M1 domain; InterPro=IPR014782; SSF55486: Metalloproteases (""zincins""), catalytic domain; G3DSA:2.60.40.1910: -; G3DSA:1.25.50.20: -; PF17900: Peptidase M1 N-terminal domain; InterPro=IPR045357; SSF63737: Leukotriene A4 hydrolase N-terminal domain; InterPro=IPR042097; PTHR11533: PROTEASE M1 ZINC METALLOPROTEASE; InterPro=IPR050344; G3DSA:1.10.390.10: Neutral Protease Domain 2; InterPro=IPR027268; PF11838: ERAP1-like C-terminal domain; InterPro=IPR024571; G3DSA:2.60.40.1910:FF:000008: Aminopeptidase; G3DSA:1.10.390.10:FF:000013: Aminopeptidase N; G3DSA:2.60.40.1730: tricorn interacting facor f3 domain; PR00756: Membrane alanyl dipeptidase (M1) family signature; InterPro=IPR001930"	True	11	1980	950	WAG+F+I+G4	98.75	92.0	100.0	8	99.3375	96.1	100.0	8	
g3804.t1	g3804.t1	tr|A0A4C1WCW2|A0A4C1WCW2_EUMVA	A0A4C1WCW2	87.746	100	0.0	1647.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Eumeta variegata OX=151549 GN=Lingo2 PE=4 SV=1	PS50835: Ig-like domain profile.; InterPro=IPR007110; PF13855: Leucine rich repeat; InterPro=IPR001611; PTHR24369: ANTIGEN BSP, PUTATIVE-RELATED; InterPro=IPR050541; SSF52058: L domain-like; SM00365: LRR_sd22_2; G3DSA:3.80.10.10: Ribonuclease Inhibitor; InterPro=IPR032675; Coil: Coil; PS51450: Leucine-rich repeat profile.; SM00369: LRR_typ_2; InterPro=IPR003591; PF13927: Immunoglobulin domain; SM00409: IG_3c; InterPro=IPR003599; mobidb-lite: consensus disorder prediction; PR00019: Leucine-rich repeat signature; SSF48726: Immunoglobulin; InterPro=IPR036179; G3DSA:2.60.40.10: Immunoglobulins; InterPro=IPR013783; SM00408: igc2_5; InterPro=IPR003598	True	11	958	919	Q.PLANT+I+G4	89.0	62.0	100.0	8	94.55	75.6	100.0	8	
g13522.t1	g13522.t1	tr|A0A4C1UMJ1|A0A4C1UMJ1_EUMVA	A0A4C1UMJ1	92.279	95	0.0	1559.0	tr|A0A4C1UMJ1|A0A4C1UMJ1_EUMVA Toll-like receptor 4 OS=Eumeta variegata OX=151549 GN=TLR4 PE=3 SV=1	G3DSA:3.40.50.10140: -; InterPro=IPR035897; PTHR24365: TOLL-LIKE RECEPTOR; SSF52058: L domain-like; SSF52047: RNI-like; PIRSF037595: Toll-like_receptor; InterPro=IPR017241; PF01582: TIR domain; InterPro=IPR000157; SM00369: LRR_typ_2; InterPro=IPR003591; PS51450: Leucine-rich repeat profile.; InterPro=IPR001611; SM00255: till_3; SSF52200: Toll/Interleukin receptor TIR domain; PS50104: TIR domain profile.; G3DSA:3.80.10.10: Ribonuclease Inhibitor; InterPro=IPR032675; PF13855: Leucine rich repeat	True	11	1054	853	Q.YEAST+I+G4	88.0	61.0	100.0	8	92.2875	62.8	100.0	8	
g18260.t1	g18260.t1	tr|A0A4C1XRM5|A0A4C1XRM5_EUMVA	A0A4C1XRM5	90.642	100	0.0	1400.0	tr|A0A4C1XRM5|A0A4C1XRM5_EUMVA Transient receptor potential channel pyrexia OS=Eumeta variegata OX=151549 GN=pyx PE=4 SV=1	PS50088: Ankyrin repeat profile.; InterPro=IPR002110; PS50297: Ankyrin repeat region circular profile.; G3DSA:1.25.40.20: -; InterPro=IPR036770; PF12796: Ankyrin repeats (3 copies); PR01415: Ankyrin repeat signature; SSF48403: Ankyrin repeat; SM00248: ANK_2a; Coil: Coil; PTHR47143: TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL PROTEIN PAINLESS; InterPro=IPR052076; PF00520: Ion transport protein; InterPro=IPR005821	True	11	1240	1175	Q.INSECT+G4	90.125	47.0	100.0	8	85.75	11.2	100.0	8	
g10012.t1	g10012.t1	tr|A0A4C1TF09|A0A4C1TF09_EUMVA	A0A4C1TF09	88.727	100	0.0	1345.0	Insulin-like growth factor-binding protein complex acid labile subunit OS=Eumeta variegata OX=151549 GN=Igfals PE=4 SV=1	G3DSA:3.80.10.10: Ribonuclease Inhibitor; InterPro=IPR032675; mobidb-lite: consensus disorder prediction; PF13855: Leucine rich repeat; InterPro=IPR001611; SSF52047: RNI-like; PS51450: Leucine-rich repeat profile.; SM00365: LRR_sd22_2; PTHR24373: SLIT RELATED LEUCINE-RICH REPEAT NEURONAL PROTEIN; InterPro=IPR050328; Coil: Coil; SSF52058: L domain-like; SM00369: LRR_typ_2; InterPro=IPR003591; PF13516: Leucine Rich repeat	True	11	1328	1222	Q.INSECT+F+G4	97.0	89.0	100.0	8	97.8375	92.1	100.0	8	
g97.t1	g97.t1	tr|A0A4C1W4H9|A0A4C1W4H9_EUMVA	A0A4C1W4H9	86.024	99	0.0	1335.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95136_1 PE=3 SV=1	"PF01433: Peptidase family M1 domain; InterPro=IPR014782; PF17900: Peptidase M1 N-terminal domain; InterPro=IPR045357; G3DSA:1.10.390.10:FF:000013: Aminopeptidase N; SSF63737: Leukotriene A4 hydrolase N-terminal domain; InterPro=IPR042097; G3DSA:2.60.40.1730:FF:000013: Aminopeptidase; G3DSA:2.60.40.1730: tricorn interacting facor f3 domain; G3DSA:2.60.40.1910:FF:000008: Aminopeptidase; SSF55486: Metalloproteases (""zincins""), catalytic domain; G3DSA:1.10.3480.20: -; G3DSA:2.60.40.1910: -; PR00756: Membrane alanyl dipeptidase (M1) family signature; InterPro=IPR001930; PF11838: ERAP1-like C-terminal domain; InterPro=IPR024571; cd09601: M1_APN-Q_like; InterPro=IPR034016; PTHR11533: PROTEASE M1 ZINC METALLOPROTEASE; InterPro=IPR050344; G3DSA:1.10.390.10: Neutral Protease Domain 2; InterPro=IPR027268"	True	11	2813	926	Q.YEAST+I+G4	88.0	58.0	100.0	8	85.625	41.3	100.0	8	
