qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source
g6625.t1	sp|Q9VSR3|ORB2_DROME	90.441	136	137	704	99	2.23e-85	266.0	Translational regulator orb2 OS=Drosophila melanogaster OX=7227 GN=orb2 PE=1 SV=1	Swiss-Prot
g6625.t1	sp|Q17RY0-3|CPEB4_HUMAN	86.765	136	137	322	99	2.61e-85	255.0	Isoform 3 of Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens OX=9606 GN=CPEB4	Swiss-Prot
g6625.t1	sp|Q9VSR3-2|ORB2_DROME	90.441	136	137	551	99	6.170000000000001e-85	261.0	Isoform A of Translational regulator orb2 OS=Drosophila melanogaster OX=7227 GN=orb2	Swiss-Prot
g6625.t1	sp|Q812E0|CPEB2_MOUSE	86.765	136	137	521	99	3.02e-84	258.0	Cytoplasmic polyadenylation element-binding protein 2 OS=Mus musculus OX=10090 GN=Cpeb2 PE=1 SV=1	Swiss-Prot
g6625.t1	sp|Q7TN99-6|CPEB3_MOUSE	86.029	136	137	477	99	1.37e-82	253.0	Isoform 6 of Cytoplasmic polyadenylation element-binding protein 3 OS=Mus musculus OX=10090 GN=Cpeb3	Swiss-Prot
g6625.t1	sp|Q17RY0-2|CPEB4_HUMAN	86.765	136	137	712	99	1.64e-82	259.0	Isoform 2 of Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens OX=9606 GN=CPEB4	Swiss-Prot
g6625.t1	sp|Q17RY0|CPEB4_HUMAN	86.765	136	137	729	99	1.98e-82	259.0	Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens OX=9606 GN=CPEB4 PE=1 SV=1	Swiss-Prot
g6625.t1	sp|Q7TN98|CPEB4_MOUSE	86.765	136	137	729	99	2.72e-82	258.0	Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus OX=10090 GN=Cpeb4 PE=1 SV=1	Swiss-Prot
g6625.t1	sp|Q7TN98-3|CPEB4_MOUSE	86.765	136	137	711	99	2.86e-82	258.0	Isoform 3 of Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus OX=10090 GN=Cpeb4	Swiss-Prot
g6625.t1	sp|Q7TN98-2|CPEB4_MOUSE	86.765	136	137	721	99	2.89e-82	258.0	Isoform 2 of Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus OX=10090 GN=Cpeb4	Swiss-Prot
g6631.t1	sp|L7YAI7|B4GA1_DANRE	31.579	57	82	431	70	0.004	37.7	Beta-1,4-glucuronyltransferase 1 OS=Danio rerio OX=7955 GN=b4gat1 PE=1 SV=1	Swiss-Prot
g6631.t1	sp|Q8BWP8|B4GA1_MOUSE	33.333	57	82	415	70	0.005	37.4	Beta-1,4-glucuronyltransferase 1 OS=Mus musculus OX=10090 GN=B4gat1 PE=1 SV=1	Swiss-Prot
g6631.t1	sp|Q5EA01|B4GA1_BOVIN	30.0	60	82	415	73	0.016	35.8	Beta-1,4-glucuronyltransferase 1 OS=Bos taurus OX=9913 GN=B4GAT1 PE=2 SV=2	Swiss-Prot
g6632.t1	sp|W5PSH7|UCP1_SHEEP	34.615	52	70	305	74	0.003	37.7	Mitochondrial brown fat uncoupling protein 1 OS=Ovis aries OX=9940 GN=UCP1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q9W770|SPON1_CHICK	36.22	635	721	802	83	1.44e-110	356.0	Spondin-1 OS=Gallus gallus OX=9031 GN=SPON1 PE=2 SV=1	Swiss-Prot
g6633.t1	sp|Q9W770|SPON1_CHICK	33.508	191	721	802	83	1.2e-13	78.6	Spondin-1 OS=Gallus gallus OX=9031 GN=SPON1 PE=2 SV=1	Swiss-Prot
g6633.t1	sp|Q9GLX9|SPON1_BOVIN	34.488	635	721	807	83	5.32e-103	337.0	Spondin-1 OS=Bos taurus OX=9913 GN=SPON1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q9GLX9|SPON1_BOVIN	31.579	209	721	807	83	2.19e-17	90.5	Spondin-1 OS=Bos taurus OX=9913 GN=SPON1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q9GLX9|SPON1_BOVIN	35.294	187	721	807	83	4.61e-14	80.1	Spondin-1 OS=Bos taurus OX=9913 GN=SPON1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q8VCC9|SPON1_MOUSE	34.019	632	721	807	83	9.56e-103	336.0	Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q8VCC9|SPON1_MOUSE	31.278	227	721	807	83	1.45e-17	91.3	Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q8VCC9|SPON1_MOUSE	35.829	187	721	807	83	1.38e-14	81.6	Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|P35446|SPON1_RAT	33.861	632	721	807	83	1.77e-102	335.0	Spondin-1 OS=Rattus norvegicus OX=10116 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|P35446|SPON1_RAT	32.057	209	721	807	83	2.72e-17	90.1	Spondin-1 OS=Rattus norvegicus OX=10116 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|P35446|SPON1_RAT	35.829	187	721	807	83	1.56e-14	81.3	Spondin-1 OS=Rattus norvegicus OX=10116 GN=Spon1 PE=1 SV=1	Swiss-Prot
g6633.t1	sp|Q9HCB6|SPON1_HUMAN	34.331	635	721	807	83	1.91e-102	335.0	Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2	Swiss-Prot
g6633.t1	sp|Q9HCB6|SPON1_HUMAN	31.579	209	721	807	83	1.55e-17	90.9	Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2	Swiss-Prot
g6633.t1	sp|Q9HCB6|SPON1_HUMAN	34.759	187	721	807	83	2.08e-13	77.8	Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2	Swiss-Prot
g6633.t1	sp|P35447|SPON1_XENLA	35.225	599	721	803	79	1.07e-96	320.0	Spondin-1 OS=Xenopus laevis OX=8355 GN=spon1 PE=2 SV=1	Swiss-Prot
g6633.t1	sp|P35447|SPON1_XENLA	30.476	210	721	803	79	3.42e-17	90.1	Spondin-1 OS=Xenopus laevis OX=8355 GN=spon1 PE=2 SV=1	Swiss-Prot
g6634.t1	sp|Q5ZM72|FACR1_CHICK	39.117	317	318	515	99	3.54e-69	227.0	Fatty acyl-CoA reductase 1 OS=Gallus gallus OX=9031 GN=FAR1 PE=2 SV=1	Swiss-Prot
g6634.t1	sp|Q922J9|FACR1_MOUSE	37.855	317	318	515	99	3.9799999999999996e-69	227.0	Fatty acyl-CoA reductase 1 OS=Mus musculus OX=10090 GN=Far1 PE=1 SV=1	Swiss-Prot
g6634.t1	sp|Q922J9-4|FACR1_MOUSE	37.855	317	318	519	99	4.76e-69	226.0	Isoform 4 of Fatty acyl-CoA reductase 1 OS=Mus musculus OX=10090 GN=Far1	Swiss-Prot
g6634.t1	sp|Q5R834|FACR1_PONAB	37.855	317	318	515	99	8.299999999999999e-69	226.0	Fatty acyl-CoA reductase 1 OS=Pongo abelii OX=9601 GN=FAR1 PE=2 SV=1	Swiss-Prot
g6634.t1	sp|Q8WVX9|FACR1_HUMAN	37.539	317	318	515	99	2.6199999999999997e-68	224.0	Fatty acyl-CoA reductase 1 OS=Homo sapiens OX=9606 GN=FAR1 PE=1 SV=1	Swiss-Prot
g6634.t1	sp|Q7ZXF5|FACR1_XENLA	37.224	317	318	515	99	1.32e-67	223.0	Fatty acyl-CoA reductase 1 OS=Xenopus laevis OX=8355 GN=far1 PE=2 SV=1	Swiss-Prot
g6634.t1	sp|A1ZAI5|FACR1_DROME	37.417	302	318	625	95	2.2499999999999997e-67	224.0	Putative fatty acyl-CoA reductase CG5065 OS=Drosophila melanogaster OX=7227 GN=CG5065 PE=3 SV=1	Swiss-Prot
g6634.t1	sp|Q66H50|FACR1_RAT	38.199	322	318	515	99	2.14e-66	219.0	Fatty acyl-CoA reductase 1 OS=Rattus norvegicus OX=10116 GN=Far1 PE=2 SV=1	Swiss-Prot
g6634.t1	sp|Q8MS59|WAT_DROME	37.624	303	318	517	95	2.2600000000000002e-66	219.0	Fatty acyl-CoA reductase wat OS=Drosophila melanogaster OX=7227 GN=wat PE=1 SV=1	Swiss-Prot
g6634.t1	sp|Q922J9-3|FACR1_MOUSE	38.365	318	318	515	99	8.43e-66	218.0	Isoform 3 of Fatty acyl-CoA reductase 1 OS=Mus musculus OX=10090 GN=Far1	Swiss-Prot
g6643.t1	sp|A0A096MJZ0|DNAL1_RAT	65.054	186	212	190	87	8.649999999999999e-82	244.0	Dynein axonemal light chain 1 OS=Rattus norvegicus OX=10116 GN=Dnal1 PE=1 SV=1	Swiss-Prot
g6643.t1	sp|Q2KID4|DNAL1_BOVIN	64.516	186	212	190	87	4.61e-81	243.0	Dynein axonemal light chain 1 OS=Bos taurus OX=9913 GN=DNAL1 PE=2 SV=1	Swiss-Prot
g6643.t1	sp|Q05A62|DNAL1_MOUSE	64.516	186	212	190	87	8.14e-81	242.0	Dynein axonemal light chain 1 OS=Mus musculus OX=10090 GN=Dnal1 PE=1 SV=2	Swiss-Prot
g6643.t1	sp|Q28G94|DNAL1_XENTR	63.978	186	212	192	87	2.25e-80	241.0	Dynein axonemal light chain 1 OS=Xenopus tropicalis OX=8364 GN=dnal1 PE=2 SV=1	Swiss-Prot
