qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source	source_file	classification
g10001.t1	sp|Q8N3Y7|RDHE2_HUMAN	41.071	280	330	309	84	2.89e-73	231.0	Epidermal retinol dehydrogenase 2 OS=Homo sapiens OX=9606 GN=SDR16C5 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10002.t1	sp|Q68EX9|CHID1_XENLA	41.337	404	394	393	100	3.19e-97	298.0	Chitinase domain-containing protein 1 OS=Xenopus laevis OX=8355 GN=chid1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10003.t1	sp|H9J9M0|CDA1_BOMMO	43.595	484	525	539	90	2.52e-122	372.0	Chitin deacetylase 1 OS=Bombyx mori OX=7091 GN=CDA1 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10004.t1	sp|Q9UK45|LSM7_HUMAN	81.443	97	117	103	83	1.48e-54	168.0	U6 snRNA-associated Sm-like protein LSm7 OS=Homo sapiens OX=9606 GN=LSM7 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10008.t1	sp|P35464|DIHR_MANSE	81.266	395	447	395	88	0.0	629.0	Diuretic hormone receptor OS=Manduca sexta OX=7130 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10018.t1	sp|Q8WP19|CRY1_MACFA	67.706	449	485	586	92	0.0	671.0	Cryptochrome-1 OS=Macaca fascicularis OX=9541 GN=CRY1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10025.t1	sp|Q9EQC4|ELOV4_MOUSE	47.093	172	194	312	89	2.3200000000000002e-57	186.0	Very long chain fatty acid elongase 4 OS=Mus musculus OX=10090 GN=Elovl4 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10031.t1	sp|Q6P2Z6|NMD3_XENTR	56.713	499	501	504	99	0.0	572.0	60S ribosomal export protein NMD3 OS=Xenopus tropicalis OX=8364 GN=nmd3 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10034.t1	sp|Q9V9J3|SRC42_DROME	56.923	130	118	517	100	1.05e-36	133.0	Tyrosine-protein kinase Src42A OS=Drosophila melanogaster OX=7227 GN=Src42A PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10038.t1	sp|Q9V9J3|SRC42_DROME	95.789	95	126	517	75	3.31e-60	196.0	Tyrosine-protein kinase Src42A OS=Drosophila melanogaster OX=7227 GN=Src42A PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10041.t1	sp|Q9VYA8|TNG2_DROME	40.569	281	273	283	99	2.76e-57	187.0	Transport and Golgi organization protein 2 OS=Drosophila melanogaster OX=7227 GN=Tango2 PE=2 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10047.t1	sp|P17972|KCNAW_DROME	74.627	67	87	498	74	3.59e-27	105.0	Potassium voltage-gated channel protein Shaw OS=Drosophila melanogaster OX=7227 GN=Shaw PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10050.t1	sp|A1ZAI5|FACR1_DROME	52.041	98	128	625	76	8.15e-28	110.0	Putative fatty acyl-CoA reductase CG5065 OS=Drosophila melanogaster OX=7227 GN=CG5065 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10053.t1	sp|Q9UG63-2|ABCF2_HUMAN	72.84	567	622	634	91	0.0	871.0	Isoform 2 of ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10054.t1	sp|Q9VXA0|NPRL2_DROME	46.309	298	322	412	92	2.7300000000000002e-87	271.0	GATOR complex protein NPRL2 OS=Drosophila melanogaster OX=7227 GN=Nprl2 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10055.t1	sp|Q9VXA0|NPRL2_DROME	38.835	103	103	412	100	7.23e-14	68.9	GATOR complex protein NPRL2 OS=Drosophila melanogaster OX=7227 GN=Nprl2 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10056.t1	sp|Q26365|ADT_DROME	79.125	297	308	312	96	9.83e-174	486.0	ADP/ATP translocase OS=Drosophila melanogaster OX=7227 GN=sesB PE=2 SV=4	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10066.t1	sp|A0A0B7P9G0|UEX_DROME	56.241	697	813	834	84	0.0	783.0	Unextended protein OS=Drosophila melanogaster OX=7227 GN=uex PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10074.t1	sp|Q2TBV5|TF2H2_BOVIN	48.855	393	410	395	95	5.269999999999998e-134	392.0	General transcription factor IIH subunit 2 OS=Bos taurus OX=9913 GN=GTF2H2 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
