Gene_ID,Duplicate_Of
g11176,g10369
g11462,g11460
g11526,g11522
g11607,g10987
g11782,g10836
g12262,g11157
g12473,g10465
g12753,g11242
g12894,g11246
g13104,g12196
g13130,g1062
g13336,g1113
g13353,g13286
g1375,g11584
g13787,g13193
g14570,g11584
g14745,g12150
g14799,g12830
g14819,g11698
g14955,g1005
g1500,g10048
g15187,g11075
g15323,g14319
g15529,g11949
g15699,g13124
g15813,g10369
g15862,g15861
g15864,g11929
g16161,g13753
g16251,g14961
g16477,g11573
g16513,g11788
g1656,g13627
g16707,g15370
g16738,g13193
g16806,g12150
g17001,g14245
g17009,g14481
g17017,g15196
g17108,g1204
g17368,g10978
g17525,g1113
g17686,g1537
g17690,g12196
g1787,g10285
g18125,g12259
g18280,g10163
g18494,g10200
g18535,g14146
g18566,g17527
g18665,g1527
g18667,g1525
g18719,g12150
g18722,g15725
g18728,g12196
g18765,g18262
g18786,g17184
g18900,g14692
g18914,g17527
g18980,g15101
g19016,g16546
g19022,g14631
g19041,g12087
g19104,g10341
g19195,g14780
g1925,g14481
g19289,g11788
g19320,g1005
g19376,g19056
g19433,g11614
g19465,g16440
g19513,g10369
g19598,g107
g19679,g17527
g19746,g15189
g19956,g10999
g19995,g19491
g19997,g18262
g20109,g20100
g20110,g20101
g20126,g11788
g20168,g1057
g20172,g16867
g20193,g13344
g20369,g13812
g20462,g15294
g20638,g20637
g20648,g15512
g20676,g1537
g20693,g14552
g20869,g12374
g20979,g20670
g21012,g17099
g2123,g1623
g21238,g12087
g2127,g1829
g21383,g15189
g21417,g14667
g21491,g13286
g21523,g14631
g21549,g17527
g216,g13753
g21646,g12301
g21711,g13286
g21810,g13193
g21988,g11552
g22010,g10369
g22068,g16023
g22157,g10369
g2222,g14667
g22328,g1432
g2246,g1258
g225,g10998
g22503,g16343
g22529,g1005
g22553,g16889
g22624,g15154
g22762,g22207
g22773,g22669
g22816,g11246
g22874,g15225
g22959,g10341
g23033,g13315
g23064,g16867
g23195,g12659
g23218,g10369
g23234,g18112
g23235,g18111
g2324,g13134
g23364,g17527
g23368,g10423
g23381,g1527
g23525,g18537
g23580,g13193
g23588,g15294
g2362,g16123
g23657,g1221
g23704,g19069
g23764,g23296
g23825,g13286
g23889,g21027
g23891,g21966
g23961,g21696
g23965,g12201
g23993,g19602
g2409,g14458
g24120,g11094
g24138,g21660
g24200,g10285
g24341,g21220
g244,g18674
g2440,g16023
g24453,g10185
g24480,g24023
g24570,g22207
g24645,g22757
g24715,g1062
g24766,g13431
g24861,g1952
g24871,g10369
g24895,g20864
g24934,g16238
g24991,g17350
g25015,g11788
g25020,g24421
g2507,g20020
g2508,g20021
g25089,g1062
g25140,g15753
g25201,g12083
g25233,g13753
g25236,g1005
g25259,g21280
g25305,g18041
g25347,g24023
g2535,g2327
g25421,g20670
g25448,g19114
g25541,g22858
g25543,g18076
g25561,g11799
g25590,g10999
g25628,g17099
g25645,g11441
g25764,g1537
g25799,g15263
g25833,g16953
g25897,g11949
g26109,g23781
g26158,g15578
g26165,g16889
g2629,g11493
g26291,g16867
g263,g23894
g26371,g16867
g264,g23895
g2645,g11788
g26454,g10274
g2666,g22638
g2843,g17633
g285,g10999
g2893,g25408
g2946,g19217
g2953,g10999
g3000,g16975
g3201,g10465
g3230,g21753
g3248,g10465
g3301,g23377
g3329,g14245
g3427,g15294
g346,g15905
g3460,g16119
g3468,g21654
g3471,g20670
g3551,g19055
g3566,g21270
g357,g23861
g3691,g17758
g3739,g1958
g3822,g21474
g386,g15245
g3948,g11075
g4108,g13892
g4181,g12427
g4221,g10465
g4302,g4299
g4304,g4297
g4316,g25209
g4339,g13286
g4490,g22858
g4538,g18674
g4539,g18673
g4550,g17226
g4552,g4452
g4633,g15390
g4662,g24782
g4718,g3959
g4761,g2534
g4776,g1212
g4791,g16023
g4863,g11949
g4871,g10285
g4953,g25032
g5054,g23775
g5056,g23705
g5064,g21002
g5088,g1114
g5115,g10153
g5123,g4835
g5251,g3766
g5346,g21270
g5355,g20658
g5374,g20750
g5407,g18673
g5463,g21270
g5594,g25986
g5637,g10999
g5699,g25409
g5701,g15725
g5702,g14996
g5739,g17223
g574,g12569
g5745,g23775
g5801,g16215
g5872,g22858
g5889,g20864
g5898,g19921
g5899,g19922
g5917,g12196
g6003,g20712
g6056,g22207
g6174,g16546
g6243,g14512
g6317,g12087
g6435,g10465
g6448,g1212
g6449,g22669
g6450,g22668
g6504,g11123
g6507,g14631
g6537,g10534
g6555,g20879
g6560,g23444
g66,g3766
g6644,g10285
g6657,g11573
g6669,g12301
g6686,g11614
g6687,g11613
g6706,g12374
g6710,g6517
g673,g13538
g6749,g10782
g675,g5682
g6781,g20314
g6941,g11688
g6942,g11689
g6945,g20111
g695,g15294
g7002,g21047
g7009,g21047
g7040,g21897
g7222,g17842
g7226,g14552
g7254,g14481
g7257,g15207
g7281,g14319
g7302,g3763
g733,g20375
g7340,g17527
g7367,g16560
g7391,g5464
g7399,g13286
g7404,g21579
g746,g13344
g7472,g12196
g7711,g11246
g7792,g23409
g7794,g1057
g7798,g13344
g7918,g20513
g7989,g13551
g8042,g25008
g8043,g25007
g8094,g17085
g8155,g16215
g820,g8187
g8225,g11949
g8234,g21270
g8253,g18537
g8292,g26476
g8316,g17656
g8386,g23927
g8388,g16215
g8485,g20314
g8507,g12196
g8519,g2948
g8526,g10764
g8595,g21047
g866,g68
g8671,g21047
g8803,g21236
g8865,g24112
g8886,g10369
g8918,g6438
g8939,g10998
g894,g12910
g895,g12909
g8967,g4442
g9077,g3959
g9144,g17789
g918,g1432
g9211,g13281
g9216,g14552
g9327,g20670
g9344,g17399
g9433,g14996
g9455,g12858
g9469,g26423
g9512,g15836
g9556,g10465
g9607,g20879
g9642,g11584
g9657,g10285
g9713,g6699
g973,g1052
g9740,g14828
g975,g16084
g9885,g15189
g9899,g22285
g9921,g3356
g9956,g11929
g9959,g7081
g9961,g442
g9983,g15241
