qseqid	sseqid	pident	length	qlen	slen	qcov	evalue	bitscore	stitle
g8044.t1	tr|A0A9J7IWZ7|A0A9J7IWZ7_SPOLT	56.986	365	408	917	88.0	4.8e-111	356.0	N-terminal acetyltransferase B complex subunit MDM20 homolog OS=Spodoptera litura OX=69820 GN=LOC111360117 PE=3 SV=1
g8044.t1	tr|A0A9J7ENR9|A0A9J7ENR9_SPOLT	57.3	363	408	925	87.0	4.94e-111	356.0	N-terminal acetyltransferase B complex subunit MDM20 homolog OS=Spodoptera litura OX=69820 GN=LOC111360117 PE=3 SV=1
g8044.t1	tr|A0A9P0N3F5|A0A9P0N3F5_SPOLI	56.712	365	408	1027	88.0	6.1e-110	355.0	N-terminal acetyltransferase B complex subunit MDM20 homolog OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS6409 PE=3 SV=1
g8044.t1	tr|A0A9R0DTE0|A0A9R0DTE0_SPOFR	56.749	363	408	841	87.0	7.17e-110	351.0	Phagocyte signaling-impaired protein isoform X2 OS=Spodoptera frugiperda OX=7108 GN=LOC118274944 PE=3 SV=1
g8046.t1	sp|P20009|DLL_DROME	36.967	211	198	327	99.0	1.43e-14	73.9	Homeotic protein distal-less OS=Drosophila melanogaster OX=7227 GN=Dll PE=2 SV=3
g8046.t1	sp|P20009-2|DLL_DROME	35.437	206	198	322	97.0	1.07e-10	63.2	Isoform B of Homeotic protein distal-less OS=Drosophila melanogaster OX=7227 GN=Dll
g8047.t1	tr|A0A4C1XT14|A0A4C1XT14_EUMVA	48.155	542	539	556	94.0	1.7299999999999998e-168	498.0	SET and MYND domain-containing protein 4 OS=Eumeta variegata OX=151549 GN=SMYD4 PE=4 SV=1
g8047.t1	tr|A0AAV1KW15|A0AAV1KW15_9NEOP	32.143	532	539	557	91.0	7.86e-76	259.0	SET domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8097 PE=4 SV=1
g8047.t1	tr|A0AAV1KXH3|A0AAV1KXH3_9NEOP	32.143	532	539	581	91.0	1.62e-75	259.0	SET domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8097 PE=4 SV=1
g8047.t1	tr|A0AAV1KW14|A0AAV1KW14_9NEOP	31.716	536	539	552	91.0	6.45e-72	248.0	SET domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8093 PE=4 SV=1
g8047.t1	tr|A0AAV1KYI8|A0AAV1KYI8_9NEOP	31.716	536	539	576	91.0	1.04e-71	249.0	SET domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8093 PE=4 SV=1
g8047.t1	tr|A0ABQ7R3X6|A0ABQ7R3X6_PLUXY	31.509	530	539	553	91.0	4.62e-71	246.0	SET domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_001446 PE=4 SV=1
g8047.t1	tr|A0A8S3W623|A0A8S3W623_PARAO	32.952	525	539	553	87.0	9.31e-70	243.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS2472 PE=4 SV=1
g8047.t1	tr|A0AAV1KW45|A0AAV1KW45_9NEOP	30.991	555	539	576	95.0	3.71e-69	242.0	SET domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8095 PE=4 SV=1
g8048.t1	tr|A0A4C1TVL1|A0A4C1TVL1_EUMVA	84.398	1064	1121	1068	93.0	0.0	1766.0	Ankyrin repeat domain-containing protein 6 OS=Eumeta variegata OX=151549 GN=ANKRD6 PE=4 SV=1
g8048.t1	tr|A0ABM3MIW8|A0ABM3MIW8_GALME	67.958	1058	1121	1050	92.0	0.0	1364.0	Uncharacterized protein LOC113513432 OS=Galleria mellonella OX=7137 GN=LOC113513432 PE=4 SV=1
g8048.t1	tr|A0AAV1KWV1|A0AAV1KWV1_9NEOP	67.103	1070	1121	1042	96.0	0.0	1345.0	Ankyrin repeat domain-containing protein 6 OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS7543 PE=4 SV=1
g8048.t1	tr|A0ABR3HKB1|A0ABR3HKB1_LOXSC	69.645	1041	1121	1045	91.0	0.0	1340.0	Ankyrin repeat domain-containing protein 6 OS=Loxostege sticticalis OX=481309 GN=ABMA27_004701 PE=4 SV=1
g8048.t1	tr|A0A8S3W7A3|A0A8S3W7A3_PARAO	67.372	1039	1121	1040	96.0	0.0	1325.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS2900 PE=4 SV=1
g8048.t1	tr|A0A9P0I2F9|A0A9P0I2F9_SPOLI	67.341	1038	1121	1004	94.0	0.0	1305.0	Ankyrin repeat domain-containing protein 6 OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS4311 PE=4 SV=1
g8048.t1	tr|A0AAD7YE67|A0AAD7YE67_MYTSE	66.415	1060	1121	1018	94.0	0.0	1303.0	Ankyrin repeat domain-containing protein 6 OS=Mythimna separata OX=271217 GN=PYW07_004879 PE=4 SV=1
g8048.t1	tr|A0A8B8IV11|A0A8B8IV11_VANTA	66.07	1061	1121	1019	94.0	0.0	1303.0	Ankyrin repeat domain-containing protein 6 isoform X1 OS=Vanessa tameamea OX=334116 GN=Dgo PE=4 SV=2
g8048.t1	tr|A0A9R0DN87|A0A9R0DN87_SPOFR	66.956	1038	1121	1004	94.0	0.0	1300.0	Ankycorbin OS=Spodoptera frugiperda OX=7108 GN=LOC118271881 PE=4 SV=1
g8048.t1	tr|A0A9N9R2Y0|A0A9N9R2Y0_9NEOP	66.539	1043	1121	1143	93.0	0.0	1298.0	Ankyrin repeat domain-containing protein 6 OS=Diatraea saccharalis OX=40085 GN=DIATSA_LOCUS6283 PE=4 SV=1
g8049.t1	sp|Q9VGZ1|CK5P1_DROME	55.765	477	484	583	97.0	0.0	565.0	CDK5RAP1-like protein OS=Drosophila melanogaster OX=7227 GN=CG6345 PE=2 SV=1
g8049.t1	sp|Q96SZ6-2|CK5P1_HUMAN	57.384	474	484	497	97.0	0.0	556.0	Isoform 2 of Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1
g8049.t1	sp|Q96SZ6-3|CK5P1_HUMAN	57.173	474	484	587	97.0	0.0	556.0	Isoform 3 of Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1
g8049.t1	sp|Q9JLH6|CK5P1_RAT	56.54	474	484	586	97.0	0.0	552.0	Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Rattus norvegicus OX=10116 GN=Cdk5rap1 PE=1 SV=1
g8049.t1	sp|Q8BTW8|CK5P1_MOUSE	56.329	474	484	588	97.0	0.0	548.0	Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Mus musculus OX=10090 GN=Cdk5rap1 PE=1 SV=2
