gene_id	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_hits	bacterial_hits	fungal_hits	non_arthropod_eukaryote_hits	other_prokaryote_hits	unknown_taxonomy_hits	known_taxonomy_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	classification	decision	reason	best_hit_description
g1.t1	tr|A0A4C1TV15|A0A4C1TV15_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	48.739	98.0	3.39e-59	202.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	MADF domain-containing protein OS=Eumeta variegata OX=151549 GN=EVAR_7858_1 PE=4 SV=1
g2.t1									0	3	0	0	0	0	0	0	0	0	0	0	0	0	NO_QUALIFYING_HIT	NO_QUALIFYING_HIT	No BLAST hit passed all three quality thresholds.	
g3.t1	tr|A0A4C1T255|A0A4C1T255_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	93.878	99.0	0.0	673.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Eumeta variegata OX=151549 GN=GAPVD1 PE=3 SV=1
g4.t1	tr|A0A4C1WH24|A0A4C1WH24_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.397	100.0	0.0	945.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1
g5.t1	tr|A0A4C1WII4|A0A4C1WII4_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	85.047	92.0	0.0	951.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=EVAR_42840_1 PE=3 SV=1
g6.t1	tr|A0A0L7KNG8|A0A0L7KNG8_OPEBR	Operophtera brumata	104452	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	51.693	99.0	0.0	1163.0	24	24	24	0	0	0	0	0	24	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Odorant degrading enzyme CXE3 (Fragment) OS=Operophtera brumata OX=104452 GN=OBRU01_23574 PE=3 SV=1
g7.t1	tr|A0A4C1WG73|A0A4C1WG73_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	78.148	99.0	0.0	914.0	11	11	11	0	0	0	0	0	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1
g8.t1	tr|A0A4C1WG73|A0A4C1WG73_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	76.101	95.0	5.61e-92	285.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1
g9.t1	tr|A0A4C1WIH0|A0A4C1WIH0_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	78.963	96.0	0.0	557.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1
g10.t1	tr|A0A4C1WG73|A0A4C1WG73_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	67.407	99.0	0.0	781.0	10	10	10	0	0	0	0	0	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	KEEP_ARTHROPOD	Arthropod support 100.0% of taxonomically resolved qualifying hits.	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1
