qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source	_gene_id	accession	homolog_rank
g17827.t1	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA	92.369	1009	1020	1076	99	0.0	1952.0	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA Presequence protease, mitochondrial OS=Eumeta variegata OX=151549 GN=EVAR_102499_1 PE=3 SV=1	TrEMBL	g17827	A0A4C1ZL26	1
g96.t1	tr|A0A4C1W529|A0A4C1W529_EUMVA	88.782	936	985	949	95	0.0	1752.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95138_1 PE=3 SV=1	TrEMBL	g96	A0A4C1W529	1
g7468.t1	tr|A0A4C1W8E5|A0A4C1W8E5_EUMVA	80.98	1041	1038	1056	98	0.0	1751.0	Membrane alanyl aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95134_1 PE=3 SV=1	TrEMBL	g7468	A0A4C1W8E5	1
g5044.t1	tr|A0AAV1K2K6|A0AAV1K2K6_9NEOP	77.943	1079	1063	1448	100	0.0	1723.0	Receptor protein-tyrosine kinase OS=Leptosia nina OX=320188 GN=LNINA_LOCUS13499 PE=3 SV=1	TrEMBL	g5044	A0AAV1K2K6	1
g5044.t1	tr|A0ABN8B149|A0ABN8B149_CHISP	77.891	1081	1063	1457	100	0.0	1719.0	Receptor protein-tyrosine kinase OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS5106 PE=3 SV=1	TrEMBL	g5044	A0ABN8B149	2
g5044.t1	tr|A0AAV1L3B6|A0AAV1L3B6_9NEOP	77.037	1080	1063	1451	100	0.0	1711.0	Receptor protein-tyrosine kinase OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS9146 PE=3 SV=1	TrEMBL	g5044	A0AAV1L3B6	3
g5044.t1	tr|A0ACC1DK66|A0ACC1DK66_9NEOP	77.778	1080	1063	1451	100	0.0	1707.0	Receptor protein-tyrosine kinase OS=Dendrolimus kikuchii OX=765133 GN=K1T71_000486 PE=3 SV=1	TrEMBL	g5044	A0ACC1DK66	4
g5044.t1	tr|A0A8R2ANC8|A0A8R2ANC8_BOMMO	77.572	1079	1063	1449	100	0.0	1707.0	Receptor protein-tyrosine kinase OS=Bombyx mori OX=7091 PE=3 SV=1	TrEMBL	g5044	A0A8R2ANC8	5
g5044.t1	tr|A0A6J2JY50|A0A6J2JY50_BOMMA	77.572	1079	1063	1449	100	0.0	1707.0	Receptor protein-tyrosine kinase OS=Bombyx mandarina OX=7092 GN=LOC114245679 PE=3 SV=1	TrEMBL	g5044	A0A6J2JY50	6
g5044.t1	tr|A0ABD0TRA5|A0ABD0TRA5_LOXSC	78.723	1081	1063	1457	100	0.0	1705.0	Receptor protein-tyrosine kinase OS=Loxostege sticticalis OX=481309 GN=ABMA27_000134 PE=3 SV=1	TrEMBL	g5044	A0ABD0TRA5	7
g3621.t1	tr|A0A4C1W5T8|A0A4C1W5T8_EUMVA	86.149	953	952	998	100	0.0	1704.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95141_1 PE=3 SV=1		g3621	A0A4C1W5T8	1
g5044.t1	tr|A0ABD0TR61|A0ABD0TR61_LOXSC	78.723	1081	1063	1433	100	0.0	1704.0	Receptor protein-tyrosine kinase OS=Loxostege sticticalis OX=481309 GN=ABMA27_000134 PE=3 SV=1	TrEMBL	g5044	A0ABD0TR61	8
g5044.t1	tr|A0A8R2LYB1|A0A8R2LYB1_BOMMO	77.5	1080	1063	1450	100	0.0	1702.0	Receptor protein-tyrosine kinase OS=Bombyx mori OX=7091 PE=3 SV=1	TrEMBL	g5044	A0A8R2LYB1	9
g5044.t1	tr|A0A6J2K074|A0A6J2K074_BOMMA	77.5	1080	1063	1450	100	0.0	1702.0	Receptor protein-tyrosine kinase OS=Bombyx mandarina OX=7092 GN=LOC114245679 PE=3 SV=1	TrEMBL	g5044	A0A6J2K074	10
g3804.t1	tr|A0A4C1WCW2|A0A4C1WCW2_EUMVA	87.746	914	914	912	100	0.0	1647.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Eumeta variegata OX=151549 GN=Lingo2 PE=4 SV=1	TrEMBL	g3804	A0A4C1WCW2	1
g17827.t1	tr|A0AAU9TCR6|A0AAU9TCR6_EUPED	70.629	1018	1020	1018	99	0.0	1568.0	tr|A0AAU9TCR6|A0AAU9TCR6_EUPED Presequence protease, mitochondrial OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS518 PE=3 SV=1	TrEMBL	g17827	A0AAU9TCR6	2
g17827.t1	tr|A0A0L7LHC8|A0A0L7LHC8_OPEBR	70.363	1019	1020	1402	99	0.0	1564.0	tr|A0A0L7LHC8|A0A0L7LHC8_OPEBR Presequence protease, mitochondrial OS=Operophtera brumata OX=104452 GN=OBRU01_08707 PE=3 SV=1	TrEMBL	g17827	A0A0L7LHC8	3
g17827.t1	tr|A0A8B8HVM0|A0A8B8HVM0_VANTA	70.53	1018	1020	1017	99	0.0	1563.0	tr|A0A8B8HVM0|A0A8B8HVM0_VANTA Presequence protease, mitochondrial OS=Vanessa tameamea OX=334116 GN=LOC113395345 PE=3 SV=2	TrEMBL	g17827	A0A8B8HVM0	4
g17827.t1	tr|A0AAV1LEW8|A0AAV1LEW8_9NEOP	70.196	1020	1020	1014	99	0.0	1562.0	tr|A0AAV1LEW8|A0AAV1LEW8_9NEOP Presequence protease, mitochondrial OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS13326 PE=3 SV=1	TrEMBL	g17827	A0AAV1LEW8	5
g13522.t1	tr|A0A4C1UMJ1|A0A4C1UMJ1_EUMVA	92.279	816	855	1008	95	0.0	1559.0	tr|A0A4C1UMJ1|A0A4C1UMJ1_EUMVA Toll-like receptor 4 OS=Eumeta variegata OX=151549 GN=TLR4 PE=3 SV=1	TrEMBL	g13522	A0A4C1UMJ1	1
g17827.t1	tr|A0A6J1WPL2|A0A6J1WPL2_GALME	70.167	1019	1020	1014	99	0.0	1558.0	tr|A0A6J1WPL2|A0A6J1WPL2_GALME Presequence protease, mitochondrial OS=Galleria mellonella OX=7137 GN=LOC113513724 PE=3 SV=2	TrEMBL	g17827	A0A6J1WPL2	6
