gene_id	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_hits	bacterial_hits	fungal_hits	non_arthropod_eukaryote_hits	other_prokaryote_hits	unknown_taxonomy_hits	known_taxonomy_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	classification	decision	reason	best_hit_description
g13248.t1	tr|R7UBV4|R7UBV4_CAPTE	Capitella teleta	283909	Eukaryota; Metazoa; Annelida; Polychaeta; 	32.812	85.0	1.1e-11	68.9	20	124	7	0	0	13	0	0	20	0.35	0.0	0.0	0.65	0.0	AMBIGUOUS	AMBIGUOUS	No taxonomic group reached the 70% dominance threshold among taxonomically resolved qualifying hits.	tr|R7UBV4|R7UBV4_CAPTE Uncharacterized protein OS=Capitella teleta OX=283909 PE=4 SV=1
g13252.t1	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	44.304	70.0	4.7e-09	61.2	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C1XTL1|A0A4C1XTL1_EUMVA Gustatory receptor OS=Eumeta variegata OX=151549 GN=EVAR_97924_1 PE=4 SV=1
g13337.t1	tr|A0AAV7IS86|A0AAV7IS86_COTGL	Cotesia glomerata	32391	Eukaryota; Metazoa; Arthropoda; Insecta; Hymenoptera	42.424	72.0	0.000633	43.9	1	7	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0AAV7IS86|A0AAV7IS86_COTGL Reverse transcriptase (Fragment) OS=Cotesia glomerata OX=32391 GN=KQX54_000103 PE=4 SV=1
g13377.t1	tr|A0AAU9U8J1|A0AAU9U8J1_EUPED	Euphydryas editha	104508	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	50.562	80.0	1.02e-16	78.6	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0AAU9U8J1|A0AAU9U8J1_EUPED Uncharacterized protein OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS9653 PE=4 SV=1
g13394.t1	tr|K7G5I2|K7G5I2_PELSI	Pelodiscus sinensis	13735	Eukaryota; Metazoa; Chordata; ; Testudines	31.349	88.0	1.65e-05	56.6	3	88	0	0	2	1	0	0	3	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	AMBIGUOUS	AMBIGUOUS	No taxonomic group reached the 70% dominance threshold among taxonomically resolved qualifying hits.	tr|K7G5I2|K7G5I2_PELSI Uncharacterized protein OS=Pelodiscus sinensis OX=13735 PE=4 SV=1
g13429.t1	tr|A0A4C1VWP2|A0A4C1VWP2_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	59.524	74.0	4.76e-19	87.8	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C1VWP2|A0A4C1VWP2_EUMVA Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_30510_1 PE=4 SV=1
g13445.t1	tr|A0A8J9VLG6|A0A8J9VLG6_9NEOP	Brenthis ino	405034	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	48.295	85.0	1.53e-39	150.0	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A8J9VLG6|A0A8J9VLG6_9NEOP G-protein coupled receptors family 1 profile domain-containing protein (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS13928 PE=3 SV=1
g13454.t1	tr|A0A4C1W982|A0A4C1W982_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	86.939	79.0	1.8e-116	345.0	1	1	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C1W982|A0A4C1W982_EUMVA Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_86939_1 PE=4 SV=1
g13491.t1	tr|A0A4C1UE21|A0A4C1UE21_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	40.995	81.0	4.53e-61	226.0	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C1UE21|A0A4C1UE21_EUMVA Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_9466_1 PE=4 SV=1
g13537.t1	tr|A0A4C2A921|A0A4C2A921_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	38.636	94.0	0.004	44.7	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A4C2A921|A0A4C2A921_EUMVA Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 OS=Eumeta variegata OX=151549 GN=EVAR_7585_1 PE=4 SV=1
g13540.t1	tr|A0A194Q3H0|A0A194Q3H0_PAPXU	Papilio xuthus	66420	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	60.87	76.0	2.48e-18	82.4	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A194Q3H0|A0A194Q3H0_PAPXU Uncharacterized protein OS=Papilio xuthus OX=66420 GN=RR46_11081 PE=4 SV=1
g13543.t1	tr|A0A194Q8M1|A0A194Q8M1_PAPXU	Papilio xuthus	66420	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	73.239	76.0	3.82e-87	270.0	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A194Q8M1|A0A194Q8M1_PAPXU BHLH domain-containing protein OS=Papilio xuthus OX=66420 GN=RR46_05082 PE=4 SV=1
g13574.t1	tr|A0A8J6H9X2|A0A8J6H9X2_TENMO	Tenebrio molitor	7067	Eukaryota; Metazoa; Arthropoda; Insecta; Coleoptera	33.01	80.0	0.029	43.9	1	8	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A8J6H9X2|A0A8J6H9X2_TENMO Uncharacterized protein OS=Tenebrio molitor OX=7067 GN=GEV33_012254 PE=4 SV=1
g13583.t1	tr|A0A9N8KU55|A0A9N8KU55_CHRIL	Chrysodeixis includens	689277	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	64.856	88.0	0.0	704.0	1	10	1	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	AMBIGUOUS	AMBIGUOUS	Only 1 qualifying BLAST hit(s) were available. At least 2 qualifying hits are preferred for strong taxonomic classification.	tr|A0A9N8KU55|A0A9N8KU55_CHRIL Runt domain-containing protein OS=Chrysodeixis includens OX=689277 GN=CINC_LOCUS4188 PE=4 SV=1
