gene_id	combined_rank	final_score_RNA	annotation_score_before_RNA	final_score	RNA_score	Larva_expression_score	Larva_specificity_score	Larva_TPM	Adult_TPM	Pupa_TPM	Egg_TPM	Non_larval_mean_TPM	Larva_vs_nonLarva_ratio	Larva_expression	Highest_expression_stage	Larva_stage_dominant	RNA_matched	rank	decision	reason	sequence_length	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	taxonomy_classification	homology_score	taxonomy_score	annotation_score	interpro_score	target_class_score	functional_description	interpro_accessions	interpro_descriptions	pfam	panther	go_terms	functional_keywords	target_class	best_hit_description	TPM_sample_1	NumReads_sample_1	stage_sample_1	TPM_sample_2	NumReads_sample_2	stage_sample_2	TPM_sample_3	NumReads_sample_3	stage_sample_3	TPM_sample_4	NumReads_sample_4	stage_sample_4	TPM_sample_5	NumReads_sample_5	stage_sample_5	Larva_log2_TPM	Non_larval_log2_TPM	Egg_log2_TPM	Adult_log2_TPM	Pupa_log2_TPM
g14298	1	89.18094865674797	88.559	88.559	92.70532437831989	79.50887396386648	100.0	1355.523633	6.841239	0.0	4.89992	3.9137196666666667	100.0	Very High	Larva	True	True	33	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	263	tr|A0A4C1SD69|A0A4C1SD69_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	78.788	100.0	2.91e-143	411.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.364	100.0	30.0	100.0	95.0	Serine protease-like, trypsin family, histidine active site	IPR018114; IPR001314; IPR001254; IPR033116; IPR009003	Serine protease-like, trypsin family, histidine active site; Peptidase S1A, chymotrypsin family; Serine proteases, trypsin domain; Serine proteases, trypsin family, serine active site; Peptidase S1, PA clan	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro); GO:0004252(PANTHER)	enzyme; membrane; digestion	DIGESTION	tr|A0A4C1SD69|A0A4C1SD69_EUMVA Trypsin, alkaline C OS=Eumeta variegata OX=151549 GN=EVAR_74357_1 PE=3 SV=1	0.0	0.0	Pupa	6.841239	121.19	Adult	1574.145735	38059.175	Larva	1136.901531	33257.131	Larva	4.89992	48.0	Egg	10.405698466756544	2.2968155526438445	2.560695392375198	2.9710816336678034	0.0
g13783	2	88.17175240761112	87.089	87.089	94.30734938407413	82.17891564012355	100.0	1727.3016405	6.288001	0.0	1.200777	2.496259333333333	100.0	Very High	Larva	True	True	150	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	235	tr|A0A4C1WEL4|A0A4C1WEL4_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.818	93.0	3.63e-136	405.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	94.464	100.0	30.0	100.0	95.0	Serine proteases, trypsin family, serine active site	IPR033116; IPR001314; IPR001254; IPR018114; IPR009003	Serine proteases, trypsin family, serine active site; Peptidase S1A, chymotrypsin family; Serine proteases, trypsin domain; Serine protease-like, trypsin family, histidine active site; Peptidase S1, PA clan	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro); GO:0004252(PANTHER)	enzyme; membrane; digestion	DIGESTION	tr|A0A4C1WEL4|A0A4C1WEL4_EUMVA trypsin OS=Eumeta variegata OX=151549 GN=EVAR_45636_1 PE=4 SV=1	0.0	0.0	Pupa	6.288001	85.0	Adult	1276.868629	23553.792	Larva	2177.734652	48712.698	Larva	1.200777	9.0	Egg	10.755139317716537	1.805812200009509	1.1380129674497266	2.865523157094813	0.0
g4084	3	87.86056894637038	87.777	87.777	88.33412630913583	72.22354384855973	100.0	699.496104	8.398048	0.17821	6.570761	5.049006333333334	100.0	Very High	Larva	True	True	112	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	336	tr|A0A4C1TID5|A0A4C1TID5_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	83.881	96.0	0.0	576.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	96.755	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR033906; IPR000734; IPR013818	Alpha/Beta hydrolase fold; Lipase, N-terminal; Triacylglycerol lipase family; Lipase	PF00151; Lipase	PTHR11610; LIPASE	GO:0006629(InterPro); GO:0016298(InterPro); GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)	enzyme; digestion	DIGESTION	Pancreatic triacylglycerol lipase OS=Eumeta variegata OX=151549 GN=PNLIP PE=3 SV=1	0.17821	7.0	Pupa	8.398048	332.066	Adult	801.798698	43283.903	Larva	597.19351	38849.494	Larva	6.570761	142.998	Egg	9.45223321651146	2.59669817119538	2.920438324748022	3.232361136241382	0.23659670296904411
g4082	4	87.77859637427929	87.719	87.719	88.11630916186192	71.86051526976988	100.0	676.8028850000001	24.06247	0.115535	0.833746	8.337250333333335	72.59127267695618	Very High	Larva	True	True	117	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	334	tr|A0A4C1TFB7|A0A4C1TFB7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	86.025	96.0	0.0	572.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	96.564	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR033906; IPR000734; IPR013818	Alpha/Beta hydrolase fold; Lipase, N-terminal; Triacylglycerol lipase family; Lipase	PF00151; Lipase	PTHR11610; LIPASE	GO:0006629(InterPro); GO:0016298(InterPro); GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)	enzyme; digestion	DIGESTION	Pancreatic triacylglycerol lipase OS=Eumeta variegata OX=151549 GN=PNLIP PE=3 SV=1	0.115535	3.0	Pupa	24.06247	628.0	Adult	524.571432	18688.884	Larva	829.034338	35652.322	Larva	0.833746	12.0	Egg	9.404721967296448	3.2229977625147384	0.8747938189121854	4.64745669953713	0.15773577896465413
g1470	5	87.67904968758768	86.8	86.8	92.66033125058448	79.4338854176408	100.0	1346.327038	31.031147	0.783397	2.605823	11.473455666666666	100.0	Very High	Larva	True	True	307	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1346	tr|A0A4C1ZKB9|A0A4C1ZKB9_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	62.115	97.0	0.0	1295.0	50	92	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	91.001	100.0	30.0	100.0	100.0	Chitin binding domain	IPR002557; IPR051940; IPR036508	Chitin binding domain; Chitin-binding developmental regulator; Chitin binding domain superfamily	PF01607; Chitin binding Peritrophin-A domain	PTHR23301; CHITIN BINDING PERITROPHIN-A	GO:0005576(InterPro)|GO:0008061(InterPro); GO:0008061(InterPro)	development	CHITIN	Probable chitinase 10 OS=Eumeta variegata OX=151549 GN=Cht10 PE=4 SV=1	0.783397	59.827	Pupa	31.031147	2389.047	Adult	1281.911483	134756.998	Larva	1410.742593	178427.759	Larva	2.605823	110.211	Egg	10.395884364737698	3.640789302036288	1.8503285805501979	5.001403555241101	0.8346278954345248
g18520	6	87.60478182634999	88.559	88.559	82.19754550899998	61.99590918166664	100.0	275.9909055	2.435528	0.086272	0.052046	0.8579486666666667	100.0	Very High	Larva	True	True	43	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	276	tr|A0A4C1T8G7|A0A4C1T8G7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	89.13	100.0	2.36e-179	503.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.364	100.0	30.0	100.0	95.0	Serine proteases, trypsin domain	IPR001254; IPR009003; IPR033116; IPR001314; IPR018114	Serine proteases, trypsin domain; Peptidase S1, PA clan; Serine proteases, trypsin family, serine active site; Peptidase S1A, chymotrypsin family; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro); GO:0004252(PANTHER)	enzyme; digestion	DIGESTION	tr|A0A4C1T8G7|A0A4C1T8G7_EUMVA Chymotrypsin-2 OS=Eumeta variegata OX=151549 GN=EVAR_6336_1 PE=3 SV=1	0.086272	3.005	Pupa	2.435528	85.363	Adult	272.774449	13052.119	Larva	279.207362	16106.253	Larva	0.052046	1.004	Egg	8.113694798520514	0.8937106419958601	0.07319778687451178	1.7805318412393432	0.11938539588385796
g4086	7	87.27990964622434	87.719	87.719	84.79173097482897	66.31955162471496	100.0	409.0199	1.016915	0.0	0.0513	0.3560716666666666	100.0	Very High	Larva	True	True	116	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	334	tr|A0A4C1TFB7|A0A4C1TFB7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	88.509	96.0	0.0	582.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	96.564	100.0	30.0	100.0	95.0	Triacylglycerol lipase family	IPR000734; IPR029058; IPR033906; IPR013818	Triacylglycerol lipase family; Alpha/Beta hydrolase fold; Lipase, N-terminal; Lipase	PF00151; Lipase	PTHR11610; LIPASE	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER); GO:0006629(InterPro); GO:0016298(InterPro)	enzyme; digestion	DIGESTION	Pancreatic triacylglycerol lipase OS=Eumeta variegata OX=151549 GN=PNLIP PE=3 SV=1	0.0	0.0	Pupa	1.016915	36.0	Adult	475.385017	22975.518	Larva	342.654783	19964.161	Larva	0.0513	1.0	Egg	8.67955012129716	0.4394334250911083	0.07217441692431663	1.0121502849114827	0.0
g13779	8	87.26568831399517	86.459	86.459	91.83692209330111	78.06153682216852	100.0	1188.6147135	46.978708	16.698737	0.582546	21.419997	53.06043143092304	Very High	Larva	True	True	350	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	261	tr|A0A4C1WHF6|A0A4C1WHF6_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.553	90.0	1.21e-133	386.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	92.364	100.0	30.0	100.0	95.0	Serine proteases, trypsin domain	IPR001254; IPR009003; IPR001314; IPR018114	Serine proteases, trypsin domain; Peptidase S1, PA clan; Peptidase S1A, chymotrypsin family; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro); GO:0004252(PANTHER)	enzyme; membrane; digestion	DIGESTION	tr|A0A4C1WHF6|A0A4C1WHF6_EUMVA Trypsin CFT-1 OS=Eumeta variegata OX=151549 GN=EVAR_45629_1 PE=3 SV=1	16.698737	103.0	Pupa	46.978708	287.0	Adult	1022.533892	8517.0	Larva	1354.695535	13839.99	Larva	0.582546	2.0	Egg	10.216278680946338	4.486714179984966	0.6622474352032962	5.584322403267156	4.14557450667307
g2862	9	87.03734288577891	87.238	87.238	85.90028590519279	68.16714317532131	100.0	483.83601999999996	6.323248	0.273495	0.308475	2.3017393333333334	100.0	Very High	Larva	True	True	140	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	301	tr|A0ACC1CV66|A0ACC1CV66_9NEOP	Dendrolimus kikuchii	765133	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	68.166	96.0	4.65e-145	422.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	94.959	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR006693	Alpha/Beta hydrolase fold; Partial AB-hydrolase lipase domain	PF04083; Partial alpha/beta-hydrolase lipase region	PTHR11005; LYSOSOMAL ACID LIPASE-RELATED	GO:0006629(InterPro)	enzyme; digestion	DIGESTION	Lipase OS=Dendrolimus kikuchii OX=765133 GN=K1T71_008723 PE=3 SV=1	0.273495	8.0	Pupa	6.323248	186.0	Adult	492.531799	19778.101	Larva	475.140241	23018.0	Larva	0.308475	5.001	Egg	8.921353074940725	1.7232262264438785	0.38788636021279116	2.8724836531817313	0.3487932953095045
g16391	10	86.98754600337446	86.099	86.099	92.02264002249635	79.45238579283426	98.37802136698947	1348.590114	68.600555	61.345255	0.894328	43.613379333333334	30.250793241112767	Very High	Larva	True	True	434	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	224	tr|A0A4C1Z8T8|A0A4C1Z8T8_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.432	99.0	1.6599999999999998e-138	396.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	80.0	Glutathione S-transferase, C-terminal domain superfamily	IPR036282; IPR036249; IPR010987; IPR004045; IPR040079; IPR004046	Glutathione S-transferase, C-terminal domain superfamily; Thioredoxin-like superfamily; Glutathione S-transferase, C-terminal-like; Glutathione S-transferase, N-terminal; Glutathione transferase family; Glutathione S-transferase, C-terminal	PF13417; Glutathione S-transferase, N-terminal domain; PF00043; Glutathione S-transferase, C-terminal domain	PTHR43969; GLUTATHIONE S TRANSFERASE D10, ISOFORM A-RELATED	GO:0004364(PANTHER)|GO:0006749(PANTHER)	enzyme	DETOXIFICATION	tr|A0A4C1Z8T8|A0A4C1Z8T8_EUMVA Glutathione S-transferase 1 OS=Eumeta variegata OX=151549 GN=GST1 PE=4 SV=1	61.345255	122.0	Pupa	68.600555	131.0	Adult	1906.842646	5028.0	Larva	790.337582	2674.997	Larva	0.894328	1.0	Egg	10.398305595427907	5.479404527078433	0.9216861528779845	6.121026905164746	5.962207857853841
