rank,gene_id,protein_id,protein_length_aa,gene_family,phylogenetic_group,best_hit_accession,best_hit_species,pfam_domains,interpro_domains,functional_annotation,target_class,evalue,identity_pct,query_coverage_pct,phylogenetic_evidence,Larva_TPM,Adult_TPM,Pupa_TPM,Egg_TPM,larva_expression_score,adult_expression_score,pupa_expression_score,egg_expression_score,Larva_expression,rnai_or_chemistry,justification
1,g13783,g13783.t1,235,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 80%; SH-aLRT 76%),A0A4C1WEL4,Eumeta variegata,PF00089,IPR033116;IPR001314;IPR001254;IPR018114;IPR009003,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,3.63e-136,81.818,93.0,MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=80.50%; SH-aLRT=75.61%,1727.3016405,6.288001,0.0,1.200777,100.0,0.36,0.0,0.07,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 1727.3 versus Adult 6.3, Pupa 0.0, and Egg 1.2). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
2,g14298,g14298.t1,263,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 79%; SH-aLRT 77%),A0A4C1SD69,Eumeta variegata,PF00089,IPR018114;IPR001314;IPR001254;IPR033116;IPR009003,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,2.91e-143,78.788,100.0,MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=79.12%; SH-aLRT=76.62%,1355.523633,6.841239,0.0,4.89992,100.0,0.5,0.0,0.36,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 1355.5 versus Adult 6.8, Pupa 0.0, and Egg 4.9). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
3,g13779,g13779.t1,261,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 74%; SH-aLRT 90%),A0A4C1WHF6,Eumeta variegata,PF00089,IPR001254;IPR009003;IPR001314;IPR018114,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,1.21e-133,82.553,90.0,MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=73.75%; SH-aLRT=90.17%,1188.6147135,46.978708,16.698737,0.582546,100.0,3.95,1.4,0.05,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 1188.6 versus Adult 47.0, Pupa 16.7, and Egg 0.6). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
4,g13784,g13784.t1,258,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 86%; SH-aLRT 88%),A0A4C1WEL4,Eumeta variegata,PF00089,IPR033116;IPR018114;IPR001254;IPR001314;IPR009003,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,1.03e-149,87.083,93.0,MAFFT + trimAl + IQ-TREE; model=WAG+F+I; UFBoot=85.88%; SH-aLRT=88.42%,510.2978565,4.353841,0.197547,0.831743,100.0,0.85,0.04,0.16,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 510.3 versus Adult 4.4, Pupa 0.2, and Egg 0.8). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
5,g4082,g4082.t1,334,Triacylglycerol lipase,Supported phylogenetic placement (UFBoot 65%; SH-aLRT 90%),A0A4C1TFB7,Eumeta variegata,PF00151,IPR029058;IPR033906;IPR000734;IPR013818,Lipase involved in dietary lipid hydrolysis during larval feeding,DIGESTION,0.0,86.025,96.0,MAFFT + trimAl + IQ-TREE; model=Q.PFAM+F+G4; UFBoot=65.25%; SH-aLRT=90.06%,676.8028850000001,24.06247,0.115535,0.833746,100.0,3.56,0.02,0.12,Very High,RNAi,"Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 676.8 versus Adult 24.1, Pupa 0.1, and Egg 0.8). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control."
6,g4084,g4084.t1,336,Triacylglycerol lipase,Supported phylogenetic placement (UFBoot 70%; SH-aLRT 83%),A0A4C1TID5,Eumeta variegata,PF00151,IPR029058;IPR033906;IPR000734;IPR013818,Lipase involved in dietary lipid hydrolysis during larval feeding,DIGESTION,0.0,83.881,96.0,MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=70.50%; SH-aLRT=82.60%,699.496104,8.398048,0.17821,6.570761,100.0,1.2,0.03,0.94,Very High,RNAi,"Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 699.5 versus Adult 8.4, Pupa 0.2, and Egg 6.6). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control."
7,g4083,g4083.t1,336,Triacylglycerol lipase,Supported phylogenetic placement (UFBoot 89%; SH-aLRT 93%),A0A4C1TID5,Eumeta variegata,PF00151,IPR033906;IPR000734;IPR029058;IPR013818,Lipase involved in dietary lipid hydrolysis during larval feeding,DIGESTION,0.0,84.478,96.0,MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=88.62%; SH-aLRT=93.17%,282.0179055,26.649884,0.057428,0.673757,100.0,9.45,0.02,0.24,Very High,RNAi,"Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 282.0 versus Adult 26.6, Pupa 0.1, and Egg 0.7). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control."
8,g14301,g14301.t1,188,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 94%; SH-aLRT 94%),A0A4C1SD49,Eumeta variegata,PF00089,IPR018114;IPR001314;IPR001254;IPR009003,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,4.72e-115,85.106,99.0,MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=93.75%; SH-aLRT=94.06%,113.624595,1.254323,0.0,0.235114,100.0,1.1,0.0,0.21,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 113.6 versus Adult 1.3, Pupa 0.0, and Egg 0.2). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
9,g18520,g18520.t1,276,Trypsin / Peptidase S1,Supported phylogenetic placement (UFBoot 85%; SH-aLRT 76%),A0A4C1T8G7,Eumeta variegata,PF00089,IPR001254;IPR009003;IPR033116;IPR001314;IPR018114,Trypsin-like serine protease involved in larval dietary protein digestion,DIGESTION,2.36e-179,89.13,100.0,MAFFT + trimAl + IQ-TREE; model=Q.PFAM+I+G4; UFBoot=84.75%; SH-aLRT=76.15%,275.9909055,2.435528,0.086272,0.052046,100.0,0.88,0.03,0.02,Very High,RNAi,"Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 276.0 versus Adult 2.4, Pupa 0.1, and Egg 0.1). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development."
10,g4086,g4086.t1,334,Triacylglycerol lipase,Supported phylogenetic placement (UFBoot 77%; SH-aLRT 77%),A0A4C1TFB7,Eumeta variegata,PF00151,IPR000734;IPR029058;IPR033906;IPR013818,Lipase involved in dietary lipid hydrolysis during larval feeding,DIGESTION,0.0,88.509,96.0,MAFFT + trimAl + IQ-TREE; model=LG+F+G4; UFBoot=77.38%; SH-aLRT=76.76%,409.0199,1.016915,0.0,0.0513,100.0,0.25,0.0,0.01,Very High,RNAi,"Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 409.0 versus Adult 1.0, Pupa 0.0, and Egg 0.1). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control."
