gene_id	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_hits	bacterial_hits	fungal_hits	non_arthropod_eukaryote_hits	other_prokaryote_hits	unknown_taxonomy_hits	known_taxonomy_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	classification	decision	reason	best_hit_description
g13338.t1	tr|A0AAV2JAM9|A0AAV2JAM9_KNICA	Knipowitschia caucasica	637954	Eukaryota; Metazoa; Chordata; Actinopteri; Gobiiformes	38.276	98.0	2.05e-50	187.0	55	68	2	0	0	53	0	0	55	0.03636363636363636	0.0	0.0	0.9636363636363636	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 96.4% of taxonomically resolved qualifying hits.	tr|A0AAV2JAM9|A0AAV2JAM9_KNICA Uncharacterized protein OS=Knipowitschia caucasica OX=637954 GN=KC01_LOCUS4252 PE=4 SV=1
g13415.t1	tr|A0A7J5Z9L5|A0A7J5Z9L5_DISMA	Dissostichus mawsoni	36200	Eukaryota; Metazoa; Chordata; Actinopteri; Perciformes	42.857	74.0	1.66e-05	52.0	30	51	0	3	0	27	0	0	30	0.0	0.1	0.0	0.9	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 90.0% of taxonomically resolved qualifying hits.	tr|A0A7J5Z9L5|A0A7J5Z9L5_DISMA Uncharacterized protein OS=Dissostichus mawsoni OX=36200 GN=F7725_011491 PE=4 SV=1
g13476.t1	tr|A0A9W2YQV9|A0A9W2YQV9_BIOGL	Biomphalaria glabrata	6526	Eukaryota; Metazoa; Mollusca; Gastropoda; 	31.739	98.0	5.59e-29	124.0	127	158	0	0	0	127	0	0	127	0.0	0.0	0.0	1.0	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 100.0% of taxonomically resolved qualifying hits.	tr|A0A9W2YQV9|A0A9W2YQV9_BIOGL Serine-rich adhesin for platelets-like OS=Biomphalaria glabrata OX=6526 GN=LOC129922548 PE=4 SV=1
g13529.t1	tr|A0A1J4JUX7|A0A1J4JUX7_9EUKA	Tritrichomonas foetus	1144522	Eukaryota; ; Parabasalia; ; Tritrichomonadida	56.18	76.0	2.2e-23	104.0	11	158	0	0	0	11	0	0	11	0.0	0.0	0.0	1.0	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 100.0% of taxonomically resolved qualifying hits.	tr|A0A1J4JUX7|A0A1J4JUX7_9EUKA Right handed beta helix domain-containing protein OS=Tritrichomonas foetus OX=1144522 GN=TRFO_29832 PE=4 SV=1
g13580.t1	tr|A0AAE1CJL5|A0AAE1CJL5_9GAST	Elysia crispata	231223	Eukaryota; Metazoa; Mollusca; Gastropoda; 	33.333	86.0	0.00051	49.3	14	50	0	0	0	14	0	0	14	0.0	0.0	0.0	1.0	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 100.0% of taxonomically resolved qualifying hits.	tr|A0AAE1CJL5|A0AAE1CJL5_9GAST Uncharacterized protein OS=Elysia crispata OX=231223 GN=RRG08_026340 PE=4 SV=1
g13593.t1	tr|A0A433TK20|A0A433TK20_ELYCH	Elysia chlorotica	188477	Eukaryota; Metazoa; Mollusca; Gastropoda; 	36.522	98.0	3.43e-10	64.3	21	63	0	0	0	21	0	0	21	0.0	0.0	0.0	1.0	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 100.0% of taxonomically resolved qualifying hits.	tr|A0A433TK20|A0A433TK20_ELYCH Uncharacterized protein OS=Elysia chlorotica OX=188477 GN=EGW08_010339 PE=4 SV=1
g13646.t1	tr|A0A210PX53|A0A210PX53_MIZYE	Mizuhopecten yessoensis	6573	Eukaryota; Metazoa; Mollusca; Bivalvia; Pectinida	39.502	91.0	2.14e-78	259.0	33	103	8	0	0	25	0	0	33	0.24242424242424243	0.0	0.0	0.7575757575757576	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 75.8% of taxonomically resolved qualifying hits.	tr|A0A210PX53|A0A210PX53_MIZYE Uncharacterized protein OS=Mizuhopecten yessoensis OX=6573 GN=KP79_PYT25070 PE=4 SV=1
g13649.t1	tr|A0A1A9WIJ3|A0A1A9WIJ3_9MUSC	Glossina brevipalpis	37001	Eukaryota; Metazoa; Arthropoda; Insecta; Diptera	49.038	75.0	1.64e-10	66.6	35	97	5	0	0	30	0	0	35	0.14285714285714285	0.0	0.0	0.8571428571428571	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 85.7% of taxonomically resolved qualifying hits.	tr|A0A1A9WIJ3|A0A1A9WIJ3_9MUSC Uncharacterized protein OS=Glossina brevipalpis OX=37001 PE=3 SV=1
g13709.t1	tr|A0AAD8FHC3|A0AAD8FHC3_BIOPF	Biomphalaria pfeifferi	112525	Eukaryota; Metazoa; Mollusca; Gastropoda; 	36.22	89.0	7.89e-08	60.5	23	34	0	2	3	18	0	0	23	0.0	0.08695652173913043	0.13043478260869565	0.782608695652174	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 78.3% of taxonomically resolved qualifying hits.	tr|A0AAD8FHC3|A0AAD8FHC3_BIOPF Uncharacterized protein OS=Biomphalaria pfeifferi OX=112525 GN=Bpfe_007097 PE=4 SV=1
g13746.t1	tr|A0A210R273|A0A210R273_MIZYE	Mizuhopecten yessoensis	6573	Eukaryota; Metazoa; Mollusca; Bivalvia; Pectinida	37.234	93.0	4.5e-20	89.0	128	206	0	0	14	114	0	0	128	0.0	0.0	0.109375	0.890625	0.0	NON_ARTHROPOD_EUKARYOTE	NON_ARTHROPOD_EUKARYOTE	Non-arthropod eukaryote support 89.1% of taxonomically resolved qualifying hits.	tr|A0A210R273|A0A210R273_MIZYE Uncharacterized protein OS=Mizuhopecten yessoensis OX=6573 GN=KP79_PYT09280 PE=4 SV=1
