qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source
g1.t1	tr|A0A4C1TV15|A0A4C1TV15_EUMVA	48.739	238	236	481	98	3.39e-59	202	MADF domain-containing protein OS=Eumeta variegata OX=151549 GN=EVAR_7858_1 PE=4 SV=1	TrEMBL
g1.t1	tr|A0ABQ7QJB6|A0ABQ7QJB6_PLUXY	41.667	240	236	265	98	6.85e-51	174	MADF domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_010935 PE=4 SV=1	TrEMBL
g1.t1	tr|A0ACF8WM16|A0ACF8WM16_9HEMI	38.683	243	236	274	98	5.17e-44	157	Uncharacterized protein OS=Semiaphis heraclei OX=796293 GN=ACI65C_004117 PE=4 SV=1	TrEMBL
g1.t1	tr|A0ACF8WM54|A0ACF8WM54_9HEMI	38.683	243	236	274	98	5.29e-44	157	Uncharacterized protein OS=Semiaphis heraclei OX=796293 GN=ACI65C_005147 PE=4 SV=1	TrEMBL
g1.t1	tr|A0ACF8XBN0|A0ACF8XBN0_9HEMI	38.683	243	236	296	98	4.09e-43	155	Uncharacterized protein OS=Semiaphis heraclei OX=796293 GN=ACI65C_013804 PE=4 SV=1	TrEMBL
g1.t1	tr|A0AAD8EIT8|A0AAD8EIT8_DIPPU	39.669	242	236	233	98	2.32e-42	151	Transcription factor Adf-1 OS=Diploptera punctata OX=6984 GN=L9F63_001625 PE=4 SV=1	TrEMBL
g1.t1	tr|A0A8R2NUA6|A0A8R2NUA6_ACYPI	36.327	245	236	311	98	2.42e-41	151	MADF domain-containing protein OS=Acyrthosiphon pisum OX=7029 PE=4 SV=1	TrEMBL
g1.t1	tr|A0A8R2BAA7|A0A8R2BAA7_ACYPI	35.918	245	236	268	98	1.07e-40	148	MADF domain-containing protein OS=Acyrthosiphon pisum OX=7029 PE=4 SV=1	TrEMBL
g1.t1	tr|A0ABD1E6Q0|A0ABD1E6Q0_HYPHA	35.556	270	236	290	98	4.62e-39	144	MADF domain-containing protein OS=Hypothenemus hampei OX=57062 GN=ABEB36_013068 PE=4 SV=1	TrEMBL
g1.t1	tr|A0A6A4JIG1|A0A6A4JIG1_APOLU	36.694	248	236	273	96	1.08e-38	143	MADF domain-containing protein OS=Apolygus lucorum OX=248454 GN=GE061_012370 PE=4 SV=1	TrEMBL
g2.t1	tr|A0AAI9YBA7|A0AAI9YBA7_9PEZI	40.000	40	99	1578	40	2.6	35.8	Uncharacterized protein OS=Colletotrichum cuscutae OX=1209917 GN=CCUS01_13584 PE=4 SV=1	TrEMBL
g2.t1	tr|A0A166CIV2|A0A166CIV2_9AGAM	33.333	81	99	411	80	5.4	35.0	F-box domain-containing protein OS=Sistotremastrum suecicum HHB10207 ss-3 OX=1314776 GN=SISSUDRAFT_1129534 PE=4 SV=1	TrEMBL
g2.t1	tr|A0ACB9TNF5|A0ACB9TNF5_HOLOL	28.814	59	99	382	60	6.1	34.7	Sugar kinase OS=Holotrichia oblita OX=644536 GN=MML48_2g00017679 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A4C1T255|A0A4C1T255_EUMVA	93.878	343	344	1643	99	0.0	673	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Eumeta variegata OX=151549 GN=GAPVD1 PE=3 SV=1	TrEMBL
g3.t1	tr|A0ACC2R867|A0ACC2R867_9NEOP	64.000	350	344	1674	99	4.74e-128	410	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Mythimna loreyi OX=667449 GN=PYW08_013756 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A9P0FUQ5|A0A9P0FUQ5_CHRIL	61.561	346	344	1649	99	2.60e-123	397	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Chrysodeixis includens OX=689277 GN=CINC_LOCUS9697 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A7E5VKT0|A0A7E5VKT0_TRINI	62.428	346	344	1649	99	4.85e-123	396	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Trichoplusia ni OX=7111 GN=LOC113494592 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A8S1BIS0|A0A8S1BIS0_ARCPL	61.919	344	344	1642	99	2.75e-121	391	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS16969 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A8S1BL09|A0A8S1BL09_ARCPL	61.919	344	344	1641	99	2.96e-121	391	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS16969 PE=3 SV=1	TrEMBL
g3.t1	tr|A0ABN8EBB0|A0ABN8EBB0_CHISP	59.767	343	344	1380	99	4.25e-120	385	Ras-GAP domain-containing protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS9093 PE=4 SV=1	TrEMBL
g3.t1	tr|A0A9J7E915|A0A9J7E915_SPOLT	61.207	348	344	1637	99	2.39e-119	385	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Spodoptera litura OX=69820 GN=LOC111354708 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A835L3S9|A0A835L3S9_SPOEX	61.823	351	344	1505	99	5.16e-119	383	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Spodoptera exigua OX=7107 GN=HW555_008081 PE=3 SV=1	TrEMBL
g3.t1	tr|A0A9P0N6X3|A0A9P0N6X3_SPOLI	60.920	348	344	1685	99	2.50e-118	383	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS9083 PE=3 SV=1	TrEMBL
g4.t1	tr|A0A4C1WH24|A0A4C1WH24_EUMVA	82.397	534	534	545	100	0.0	945	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1	TrEMBL
g4.t1	tr|A0A4C2A0W6|A0A4C2A0W6_EUMVA	76.592	534	534	511	100	0.0	869	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=EVAR_57284_1 PE=3 SV=1	TrEMBL
g4.t1	tr|A0A4C1XDT3|A0A4C1XDT3_EUMVA	74.811	528	534	509	99	0.0	831	Carboxylic ester hydrolase OS=Eumeta variegata OX=151549 GN=B1 PE=3 SV=1	TrEMBL
