gene_id	rank	final_score	decision	reason	sequence_length	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	taxonomy_classification	homology_score	taxonomy_score	annotation_score	interpro_score	target_class_score	functional_description	interpro_accessions	interpro_descriptions	pfam	panther	go_terms	functional_keywords	target_class	best_hit_description
g5044.t1	1	89.355	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1063	tr|A0AAV1K2K6|A0AAV1K2K6_9NEOP	Leptosia nina	320188	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	77.943	100.0	0.0	1723.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.516	100.0	30.0	100.0	100.0	Protein kinase domain	IPR000719; IPR009030; IPR032778; IPR006212; IPR017441; IPR001245; IPR000494; IPR036941; IPR011009; IPR050122; IPR020635; IPR008266	Protein kinase domain; Growth factor receptor cysteine-rich domain superfamily; Growth factor receptor domain 4; Furin-like repeat; Protein kinase, ATP binding site; Serine-threonine/tyrosine-protein kinase, catalytic domain; Receptor L-domain; Receptor L-domain superfamily; Protein kinase-like domain superfamily; Receptor Tyrosine Kinase; Tyrosine-protein kinase, catalytic domain; Tyrosine-protein kinase, active site	PF14843; Growth factor receptor domain IV; PF01030; Receptor L domain; PF07714; Protein tyrosine and serine/threonine kinase	PTHR24416; TYROSINE-PROTEIN KINASE RECEPTOR	GO:0005524(InterPro)|GO:0006468(InterPro); GO:0005524(InterPro); GO:0004672(InterPro)|GO:0006468(InterPro); GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0008284(PANTHER)|GO:0009925(PANTHER)|GO:0022008(PANTHER)|GO:0033674(PANTHER)|GO:0043066(PANTHER)|GO:0043235(PANTHER); GO:0004713(InterPro)|GO:0006468(InterPro)	enzyme; receptor; development	GROWTH_DEVELOPMENT	Receptor protein-tyrosine kinase OS=Leptosia nina OX=320188 GN=LNINA_LOCUS13499 PE=3 SV=1
g9259.t1	2	89.309	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	275	tr|A0A9P0BS20|A0A9P0BS20_CHRIL	Chrysodeixis includens	689277	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	93.818	100.0	0.0	543.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.364	100.0	30.0	100.0	100.0	C. elegans Developmental and Neuronal Protein	IPR052774; IPR003609; IPR001507	C. elegans Developmental and Neuronal Protein; PAN/Apple domain; Zona pellucida domain	PF00024; PAN domain	PTHR47327; FI18240P1-RELATED	GO:0009653(PANTHER)	development	GROWTH_DEVELOPMENT	No mechanoreceptor potential A OS=Chrysodeixis includens OX=689277 GN=CINC_LOCUS4857 PE=4 SV=1
g17807.t1	3	89.309	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1217	tr|A0A4C1YA56|A0A4C1YA56_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.712	100.0	0.0	2154.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.364	100.0	30.0	100.0	100.0	Protein kinase, ATP binding site	IPR017441; IPR045860; IPR000333; IPR000472; IPR000719; IPR011009	Protein kinase, ATP binding site; Snake toxin-like superfamily; Ser/Thr protein kinase, TGFB receptor; Activin types I and II receptor domain; Protein kinase domain; Protein kinase-like domain superfamily	PF01064; Activin types I and II receptor domain; PF00069; Protein kinase domain	PTHR23255; TRANSFORMING GROWTH FACTOR-BETA RECEPTOR TYPE I AND II	GO:0005524(InterPro); GO:0004675(InterPro)|GO:0005524(InterPro)|GO:0007178(InterPro)|GO:0016020(InterPro); GO:0004674(PANTHER)|GO:0004675(InterPro)|GO:0005024(PANTHER)|GO:0005524(InterPro)|GO:0005886(PANTHER)|GO:0006468(PANTHER)|GO:0007178(InterPro)|GO:0016020(InterPro)|GO:0030509(PANTHER)|GO:0043235(PANTHER)|GO:0071363(PANTHER); GO:0004675(InterPro)|GO:0016020(InterPro); GO:0005524(InterPro)|GO:0006468(InterPro)	enzyme; receptor; development	GROWTH_DEVELOPMENT	tr|A0A4C1YA56|A0A4C1YA56_EUMVA Serine/threonine-protein kinase receptor OS=Eumeta variegata OX=151549 GN=BMPR2 PE=3 SV=1
g9091.t1	4	89.194	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	726	sp|O01639|E75_CHOFU	Choristoneura fumiferana	7141	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	85.399	100.0	0.0	1149.0	9	9	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.978	100.0	30.0	100.0	100.0	Zinc finger, NHR/GATA-type	IPR013088; IPR000536; IPR001728; IPR001628; IPR035500; IPR050234; IPR001723	Zinc finger, NHR/GATA-type; Nuclear hormone receptor, ligand-binding domain; Thyroid hormone receptor; Zinc finger, nuclear hormone receptor-type; Nuclear hormone receptor-like domain superfamily; Nuclear hormone receptor family NR1 subfamily; Nuclear hormone receptor	PF00104; Ligand-binding domain of nuclear hormone receptor; PF00105; Double treble clef zinc finger, C4 type	PTHR24082; NUCLEAR HORMONE RECEPTOR	GO:0006355(InterPro)|GO:0008270(InterPro); GO:0003677(InterPro)|GO:0004879(InterPro)|GO:0006355(InterPro); GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro); GO:0000122(PANTHER)|GO:0000978(PANTHER)|GO:0004879(PANTHER)|GO:0009755(PANTHER)|GO:0030154(PANTHER)|GO:0045944(PANTHER)	transcription_factor; receptor; hormone	GROWTH_DEVELOPMENT	Ecdysone-inducible protein E75 OS=Choristoneura fumiferana OX=7141 GN=E75 PE=2 SV=1
g4117.t1	5	89.145	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1233	tr|A0A4C1U2V6|A0A4C1U2V6_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.348	99.0	0.0	1817.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.816	100.0	30.0	100.0	100.0	Protein kinase-like domain superfamily	IPR011009; IPR000719; IPR017441; IPR001828; IPR028082; IPR001245; IPR008266; IPR020635; IPR050122	Protein kinase-like domain superfamily; Protein kinase domain; Protein kinase, ATP binding site; Receptor, ligand binding region; Periplasmic binding protein-like I; Serine-threonine/tyrosine-protein kinase, catalytic domain; Tyrosine-protein kinase, active site; Tyrosine-protein kinase, catalytic domain; Receptor Tyrosine Kinase	PF01094; Receptor family ligand binding region; PF07714; Protein tyrosine and serine/threonine kinase	PTHR24416; TYROSINE-PROTEIN KINASE RECEPTOR	GO:0005524(InterPro)|GO:0006468(InterPro); GO:0005524(InterPro); GO:0004672(InterPro)|GO:0006468(InterPro); GO:0004713(InterPro)|GO:0006468(InterPro); GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0033674(PANTHER)|GO:0043235(PANTHER)	enzyme; receptor	GROWTH_DEVELOPMENT	Insulin-like growth factor 1 receptor OS=Eumeta variegata OX=151549 GN=igf1r PE=4 SV=1
g6403.t1	6	89.145	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	2916	tr|A0A4C1TBC7|A0A4C1TBC7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.242	99.0	0.0	4831.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.816	100.0	30.0	100.0	100.0	Glycoside hydrolase superfamily	IPR017853; IPR002557; IPR001223; IPR029070; IPR036508; IPR011583; IPR050314; IPR001763; IPR001579	Glycoside hydrolase superfamily; Chitin binding domain; Glycoside hydrolase family 18, catalytic domain; Chitinase insertion domain superfamily; Chitin binding domain superfamily; Chitinase II/V-like, catalytic domain; Glycosyl hydrolase family 18; Rhodanese-like domain; Glycosyl hydrolase family 18, active site	PF00704; Glycosyl hydrolases family 18; PF01607; Chitin binding Peritrophin-A domain	PTHR11177; CHITINASE	GO:0005576(InterPro)|GO:0008061(InterPro); GO:0005975(InterPro); GO:0008061(InterPro); GO:0004568(PANTHER)|GO:0005576(PANTHER)|GO:0006032(PANTHER)|GO:0008061(PANTHER); GO:0004553(InterPro)|GO:0005975(InterPro)	enzyme; digestion	CHITIN	chitinase OS=Eumeta variegata OX=151549 GN=Cht10 PE=3 SV=1
g17557.t2	7	89.099	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1635	tr|A0A194PL82|A0A194PL82_PAPXU	Papilio xuthus	66420	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	87.768	99.0	0.0	3047.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	100.0	Chitin synthase	IPR004835; IPR029044; IPR055120	Chitin synthase; Nucleotide-diphospho-sugar transferases; Chitin synthase chs-1/2, N-terminal putative transporter domain	PF03142; Chitin synthase; PF23000; Chitin synthase N-terminal putative transporter domain	PTHR22914; CHITIN SYNTHASE	GO:0004100(InterPro)|GO:0004100(PANTHER)|GO:0006031(PANTHER)|GO:0006035(PANTHER)|GO:0016758(InterPro)|GO:0030428(PANTHER)|GO:0071944(PANTHER)	enzyme; transporter	CHITIN	tr|A0A194PL82|A0A194PL82_PAPXU chitin synthase OS=Papilio xuthus OX=66420 GN=RR46_12923 PE=3 SV=1
g6292.t1	8	89.099	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	348	tr|A0A4C1SS19|A0A4C1SS19_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	77.401	99.0	0.0	552.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	100.0	Peptidase S1, PA clan	IPR009003; IPR001314; IPR001254; IPR022700; IPR038565; IPR033116; IPR051487; IPR018114	Peptidase S1, PA clan; Peptidase S1A, chymotrypsin family; Serine proteases, trypsin domain; Proteinase, regulatory CLIP domain; Proteinase, regulatory CLIP domain superfamily; Serine proteases, trypsin family, serine active site; Serine/Threonine Proteases with Immune and Developmental Roles; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin; PF12032; Regulatory CLIP domain of proteinases	PTHR24256; TRYPTASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; development; digestion	GROWTH_DEVELOPMENT	CLIP domain-containing serine protease OS=Eumeta variegata OX=151549 GN=EVAR_74799_1 PE=3 SV=1
g5212.t3	9	89.099	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1347	tr|A0A4C1SNH7|A0A4C1SNH7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	74.462	99.0	0.0	2068.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	100.0	Immunoglobulin-like domain	IPR007110; IPR036179; IPR003599; IPR008266; IPR013783; IPR001245; IPR050122; IPR011009; IPR003598; IPR013151; IPR000719; IPR017441	Immunoglobulin-like domain; Immunoglobulin-like domain superfamily; Immunoglobulin domain subtype; Tyrosine-protein kinase, active site; Immunoglobulin-like fold; Serine-threonine/tyrosine-protein kinase, catalytic domain; Receptor Tyrosine Kinase; Protein kinase-like domain superfamily; Immunoglobulin subtype 2; Immunoglobulin-like beta-sandwich domain; Protein kinase domain; Protein kinase, ATP binding site	PF07714; Protein tyrosine and serine/threonine kinase; PF13927; Immunoglobulin domain; PF00047	PTHR24416; TYROSINE-PROTEIN KINASE RECEPTOR	GO:0004672(InterPro)|GO:0006468(InterPro); GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0033674(PANTHER)|GO:0043235(PANTHER); GO:0005524(InterPro)|GO:0006468(InterPro); GO:0005524(InterPro)	enzyme; receptor	GROWTH_DEVELOPMENT	Vascular endothelial growth factor receptor 1 OS=Eumeta variegata OX=151549 GN=FLT1 PE=4 SV=1
g16425.t1	10	88.99	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	219	tr|A0A4C1YN93|A0A4C1YN93_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	69.585	99.0	8.24e-113	336.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.301	100.0	30.0	100.0	100.0	Serine proteases, trypsin domain	IPR001254; IPR051487; IPR009003	Serine proteases, trypsin domain; Serine/Threonine Proteases with Immune and Developmental Roles; Peptidase S1, PA clan	PF00089; Trypsin	PTHR24256; TRYPTASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; development; digestion	GROWTH_DEVELOPMENT	tr|A0A4C1YN93|A0A4C1YN93_EUMVA Modular serine protease OS=Eumeta variegata OX=151549 GN=modSP PE=3 SV=1
