qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source
g13247.t1	tr|A0A835L995|A0A835L995_SPOEX	94.715	246	259	327	95	6.06e-161	458	tr|A0A835L995|A0A835L995_SPOEX Ion transport domain-containing protein OS=Spodoptera exigua OX=7107 GN=HW555_000244 PE=4 SV=1	TrEMBL
g13247.t1	tr|A0A8S4RAX5|A0A8S4RAX5_9NEOP	88.672	256	259	384	99	9.40e-158	452	tr|A0A8S4RAX5|A0A8S4RAX5_9NEOP Jg16673 protein OS=Pararge aegeria aegeria OX=348720 GN=jg16673 PE=4 SV=1	TrEMBL
g13247.t1	tr|A0ABN8I019|A0ABN8I019_9NEOP	94.309	246	259	1268	95	7.98e-151	461	tr|A0ABN8I019|A0ABN8I019_9NEOP Ion transport domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS3923 PE=4 SV=1	TrEMBL
g13247.t1	tr|A0ABN8I019|A0ABN8I019_9NEOP	36.364	77	259	1268	95	1.9	41.2	tr|A0ABN8I019|A0ABN8I019_9NEOP Ion transport domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS3923 PE=4 SV=1	TrEMBL
g13247.t1	tr|A0A9P0C360|A0A9P0C360_9NEOP	93.089	246	259	1163	95	1.47e-147	451	tr|A0A9P0C360|A0A9P0C360_9NEOP Ion transport domain-containing protein (Fragment) OS=Diatraea saccharalis OX=40085 GN=DIATSA_LOCUS12840 PE=4 SV=1	TrEMBL
g13247.t1	tr|A0A194QCK0|A0A194QCK0_PAPXU	94.309	246	259	1853	95	5.36e-147	461	tr|A0A194QCK0|A0A194QCK0_PAPXU Sodium channel protein OS=Papilio xuthus OX=66420 GN=RR46_06424 PE=3 SV=1	TrEMBL
g13247.t1	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP	94.715	246	259	2169	95	5.98e-147	463	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP Sodium channel protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS5909 PE=3 SV=1	TrEMBL
g13247.t1	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP	24.194	248	259	2169	95	4.53e-05	55.8	tr|A0AAV1KNU8|A0AAV1KNU8_9NEOP Sodium channel protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS5909 PE=3 SV=1	TrEMBL
g13247.t1	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI	94.715	246	259	2138	95	2.64e-146	461	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI Sodium channel protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS5736 PE=3 SV=1	TrEMBL
g13247.t1	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI	24.194	248	259	2138	95	7.08e-05	55.1	tr|A0A9P0I6N1|A0A9P0I6N1_SPOLI Sodium channel protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS5736 PE=3 SV=1	TrEMBL
g13247.t1	tr|A0AAD7YKG9|A0AAD7YKG9_MYTSE	94.715	246	259	2104	95	3.25e-146	461	tr|A0AAD7YKG9|A0AAD7YKG9_MYTSE Sodium channel protein OS=Mythimna separata OX=271217 GN=PYW07_005940 PE=3 SV=1	TrEMBL
