qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source
g10000.t1	sp|Q7TQA3|RDHE2_MOUSE	38.554	83	121	309	69	1.7e-12	65.5	Epidermal retinol dehydrogenase 2 OS=Mus musculus OX=10090 GN=Sdr16c5 PE=2 SV=1	Swiss-Prot
g10000.t1	sp|Q8N3Y7-2|RDHE2_HUMAN	39.759	83	121	265	69	9.73e-12	63.2	Isoform 2 of Epidermal retinol dehydrogenase 2 OS=Homo sapiens OX=9606 GN=SDR16C5	Swiss-Prot
g10000.t1	sp|Q8N3Y7|RDHE2_HUMAN	39.759	83	121	309	69	1.16e-11	63.2	Epidermal retinol dehydrogenase 2 OS=Homo sapiens OX=9606 GN=SDR16C5 PE=1 SV=2	Swiss-Prot
g10000.t1	sp|Q05A13|S16C6_MOUSE	59.524	42	121	316	35	9.69e-09	55.1	Short-chain dehydrogenase/reductase family 16C member 6 OS=Mus musculus OX=10090 GN=Sdr16c6 PE=2 SV=1	Swiss-Prot
g10000.t1	sp|A5JYX5-2|DHS3_CAEEL	39.744	78	121	307	62	2.56e-08	53.9	Isoform a of Protein dhs-3 OS=Caenorhabditis elegans OX=6239 GN=dhs-3	Swiss-Prot
g10000.t1	sp|Q9EQ06|DHB11_MOUSE	48.077	52	121	298	43	3.26e-08	53.5	Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus OX=10090 GN=Hsd17b11 PE=1 SV=1	Swiss-Prot
g10000.t1	sp|Q7T2D1|RD10B_DANRE	34.177	79	121	336	65	3.37e-08	53.5	Retinol dehydrogenase 10-B OS=Danio rerio OX=7955 GN=rdh10b PE=2 SV=2	Swiss-Prot
g10000.t1	sp|Q9EQ06-2|DHB11_MOUSE	48.077	52	121	232	43	3.46e-08	53.1	Isoform 2 of Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus OX=10090 GN=Hsd17b11	Swiss-Prot
g10000.t1	sp|Q6AYS8|DHB11_RAT	48.077	52	121	298	43	4.21e-08	53.1	Estradiol 17-beta-dehydrogenase 11 OS=Rattus norvegicus OX=10116 GN=Hsd17b11 PE=2 SV=1	Swiss-Prot
g10000.t1	sp|A1L1W4|RD10A_DANRE	32.051	78	121	339	64	6.3e-08	52.8	Retinol dehydrogenase 10-A OS=Danio rerio OX=7955 GN=rdh10a PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q8N3Y7|RDHE2_HUMAN	41.071	280	330	309	84	2.89e-73	231.0	Epidermal retinol dehydrogenase 2 OS=Homo sapiens OX=9606 GN=SDR16C5 PE=1 SV=2	Swiss-Prot
